paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,text
01-004,01-刘宾客嘉话录,冥报报应;巫术厌胜,高宗李治,永徽,官运仕途;报应惩恶,【01-004】永徽中，卢齐卿暴死，及苏，说见其舅李某为冥司判官，有吏押案，曰：“宇文融合为宰相。”舅曰：“宇文融岂堪作宰相？”吏曰：“天符巳下，数日多少即由判官。”舅乃判一百日。既拜，果百日而罢。公因曰：“官不前定，何名真宰？”
01-007,01-刘宾客嘉话录,神仙佛道,玄宗李隆基,,官运仕途,【01-007】李丞相必谓德宗曰：“肃宗师臣，岂不呼陛下为崽郎？”圣颜不悦。泌曰：“陛下天宝元年生，向外言改年之由或以弘农得宝，此乃谬也。以陛下此年降诞，故玄宗皇帝以天降至宝，因改年号为天宝也。”圣颜然后大悦。又韦渠牟曾为道士及僧，德宗问：“卿从道门，本师复是谁？”渠牟曰：“臣师李先师，仙师师张果老先生。肃宗皇帝师李先师，为仙帝。臣道合为陛下师，由迹微官卑，故不足为陛下师。”渠牟亦效李相泌之对也。
01-008,01-刘宾客嘉话录,神仙佛道,玄宗李隆基,,官运仕途;命运寿夭,【01-008】德宗降三日，玄宗立于高阶上，肃宗次之，代宗又次之。保母襁抱德宗来呈，色不白皙，耳仆前。肃宗、代宗不悦。二帝以手自下递传呈上，玄宗一顾之，曰：“真我儿也。”谓肃宗曰：“汝不及他。”又谓代宗曰：“汝亦不及他，仿佛似我。”既而在位二十七年，寿六十三。肃宗登位五年，代宗登位十五年，是不及也。后明皇帝幸蜀，至中路曰：“崽郎亦一遍到此来里。”及德宗幸梁，是验也。乃知圣人应天受命，享国绵远，岂徒然哉！
01-010,01-刘宾客嘉话录,巫术厌胜,未系年,,官运仕途,【01-010】逆胡将乱于中原，梁朝誌公大师有语曰：“两角女子绿衣裳，却背太行邀君王，一止之月必消亡。”两角女子，“安”字也；绿者，“禄”字也；一止，正月也。果正月败亡，圣矣，符誌公之寓言也。
01-019,01-刘宾客嘉话录,神仙佛道,未系年,,未明,【01-019】菜之菠棱者，本西国中。有僧自彼将其子来，如苜蓿、蒲陶，因张骞而至也。绚曰：“岂非颇棱国将来，而语讹为菠棱耶？”
01-024,01-刘宾客嘉话录,神仙佛道,宪宗李纯,,官运仕途;禳灾祈福,【01-024】蔡之将破，有水牛黑色入池浴，既出，身自白，皎然，唯头不变；又有雀数百，同为一窠，皆丝絮为之；有群鸟同巢，一旦尽弃掷其鸰而去；有马生牛蹄者。蔡州既平，宪宗命道士张某至境，置醮于紫极宫。宫本吴少诚生祠也，裴令公毁之为宫。有道士院，阶前种麻，生高如墉，道士葺为藩屏。其醮日，霹雳麻屏两片，下有穴五寸已来，有狸迹。寻之上屋，其踪稍大如马，亦如人足，直至屋上而灭。其韩碑石，本吴少诚德政碑，世与狄梁公碑对立。其吴碑亦流汗成泥，狄梁公碑如故。不十日中使至，磨韩之作而刊改制焉。
01-026,01-刘宾客嘉话录,神仙佛道,未系年,,医疗,【01-026】$ ^{*} $元公镇南海日，疽生于鬓，气息惙然。忽有一年少道士直来房前，谓元公曰：“本师知病疮，遣某将少膏药来，可便傅之。”元公宠姬韩氏，家号静君，遂取膏疾贴之于疮上，至暮而拔，数日平复。于苍黄之际，不知道士所来。及令勘，中门至衙门十余重，并无出入处，方知是其异也。盛膏小银合子，韩氏收得，后犹在。
01-028,01-刘宾客嘉话录,鬼怪妖魅,未系年,,未明,【01-028】$ ^{*} $ 李汧公勉，取桐丝之精者，杂缀为之，谓之百衲琴。用蜗壳为徽，其间三面尤绝异，通谓之响泉韵磬。弦一上可十年不断。
01-037,01-刘宾客嘉话录,神仙佛道,高祖李渊,,风俗信仰,【01-037】$ ^{*} $ 王僧虔，右军之孙也。齐高祖尝问曰：“卿书与我书孰优？”对曰：“陛下书帝王第一，臣书人臣第一。”帝不悦。尝以撅笔书，恐帝所忌故也。
01-042,01-刘宾客嘉话录,神仙佛道,未系年,,禳灾祈福,【01-042】$ ^{*} $五星恶浮图佛像，今人家多图画五星，杂于佛事，或谓之禳灾，真不知也。
01-043,01-刘宾客嘉话录,神仙佛道,未系年,,未明,【01-043】$ ^{*} $ 武后朝宰相石泉公，王方庆，琅耶王。后尝御武成殿阅书画，问方庆曰：“卿家旧法书帖乎？”方庆遂进自右军已下至僧虔、智永禅师等二十五人各书帖一卷，命崔融作序，谓之《宝章集》，亦曰《王氏世宝》。
01-051,01-刘宾客嘉话录,鬼怪妖魅,未系年,,官运仕途,【01-051】$ ^{*} $章仇兼琼镇蜀日，仇尝设大会，百戏在庭。有十岁女童，舞于竿杪，忽有物状如雕鹗，掠之而去。群众大骇，因而罢乐。后数日，其父母见在高塔上，梯而取之，则神形如痴。久之方语，云见壁画飞天夜叉者，将入塔中，日饲果食饮馔之类，亦不知其所自。四日方精神如初。
01-053,01-刘宾客嘉话录,神仙佛道,未系年,,未明,【01-053】$ ^{*} $昔东海蒋潜，尝至不其县，路次，林中遇一尸，已臭烂，鸟来食之，辄见小儿长三尺驱鸟，鸟飞起，如此非一。潜异之，看见尸头上着通天犀纛，揣其价，可数万钱。潜乃拔取。既去，众鸟争集，无通驱者。潜以此纛上晋武灵王晞。晞薨，以衬众僧，王武纲以九万钱买之。后落褚太宰处，复以饷齐故丞相豫章王。王薨后，内人江夫人遂断以为钗。每夜辄见一儿绕床啼叫，云：“何为见屠割，天当相报。”江夫人恶之，月余乃亡。
01-055,01-刘宾客嘉话录,神仙佛道,未系年,,医疗;官运仕途,【01-055】人言鹤胎生，所以赋云“胎化仙禽”也。今鸬鹚亦是胎生，《抱朴子》、《本草》说同，此岂亦仙禽者乎？绚曰：“但恐世只知鹤胎生，不知鸬鹚亦是胎生，鹤便谓胎生也。若缘鸬鹚食腥鱼，虽胎生不得与鹤同，今见养鹤者说其鹤食腥秽更甚于鸬鹚。若以色黑于鹤，则白鹤千万年方变为玄鹤，又何尚焉？”公笑曰：“是以君子恶居下流，其鹤之谓乎？”绚曰：“鹤难见也，鹤易见也，世人贵耳而贱目之故也。若使鸾凰如鹤之长见，即鹤亦如鹤矣。以少为贵，世以不见为圣为瑞而贵之也。所以进士陈标咏蜀葵诗云：‘能共牡丹争几许，得人憎处只缘多。’鹤之谓也。”
01-062,01-刘宾客嘉话录,鬼怪妖魅;神仙佛道,未系年,,未明,【01-062】元载于万年县佛堂子中谒主者，乞一快死也。主者曰：“相公今日受些子污泥，不怪也。”乃脱秽袜塞其口而终。
01-063,01-刘宾客嘉话录,冥报报应,德宗李适,,报应惩恶,【01-063】公曰：卢华州，予之堂舅氏也。尝于元载相宅门见一人，频至其门，上下瞻顾。卢疑异人，乃邀以归，且问元载相公如何，曰：“新相将出，旧者须去，吾已见新相矣。一人绯，一人紫，一人街西住，一人街东住，皆惨服也。然二人俱身小而不知姓名。”不经旬日，王、元二相下狱。德宗将用刘晏为门下，杨炎为中书，外皆传说必定，疑季子之言不中。时国舅吴凑见王、元事讫，因贺德宗而启之曰：“新相欲用谁？”德宗曰：“刘、杨。”凑不语。上曰：“吾舅意如何？言之无妨。”凑曰：“二人俱曾用也，行当可见。陛下何不用后来俊杰？”上曰：“为谁？”吴乃奏常衮及某乙。翌日，并命拜二人为相，以代王、元，果如季子之说，绯紫、短长、街之东西，无不验也。
01-069,01-刘宾客嘉话录,神仙佛道,德宗李适,,官运仕途,【01-069】德宗降诞日，内殿三教讲论，以僧监虚对韦渠牟，以许孟容对赵需，以僧覃延对道士郄惟素。诸人皆谈毕，监虚曰：“臣请奏事：玄元皇帝，我唐天下之圣人；文宣王，古今之圣人；释迦如来，西方之圣人；今皇帝陛下，是南赡部州之圣人。臣请讲御制赐新罗铭。”讲罢，德宗有喜色。
01-071,01-刘宾客嘉话录,神仙佛道,德宗李适,,未明,【01-071】德宗诞日，三教讲论。儒者第一赵需，第二许孟容，第三韦渠牟，与僧覃延嘲谑，因此承恩也。渠牟荐一崔阡，拜谕德，为侍书于东宫。东宫，顺宗也。阡触事面墙，对东宫曰：“臣山野鄙人，不识朝典，见陛下合称臣否？”东宫曰：“卿是东僚，自合知也。”
01-078,01-刘宾客嘉话录,神仙佛道,未系年,,未明,【01-078】$ ^{*} $《千字文》，梁周兴嗣编次，而有王右军书者，人皆不晓其始。梁武教诸王书，令殷铁石于大王书中撮一千字不重者，每字一片纸，杂碎无叙。武帝召兴嗣，谓曰：“卿有才思，为我韵之。”兴嗣一夕编次进上，鬓发皆白，而赏锡甚厚。右军孙智永禅师自临八百本，散与人外，江南诸寺各留一本。永公住永欣寺，积年学书，后有笔头十瓮，每瓮皆数万。人来觅书，兼请题头者如市，所居户限为之穿穴，乃用铁叶裹之，人谓之铁门限。后取笔头瘗之，号退笔冢，自制铭志。
01-079,01-刘宾客嘉话录,神仙佛道,玄宗李隆基,,医疗,【01-079】$ ^{*} $郑广文学书而病无纸，知慈恩寺有柿叶数间屋，遂借僧房居止，日取红叶学书，岁久殆遍。后自写所制诗并画同为一卷，封进玄宗，御笔书其尾，曰“郑虔三绝”。
01-080,01-刘宾客嘉话录,鬼怪妖魅,未系年,,官运仕途,【01-080】$ ^{*} $郭侍郎承嘏，尝宝惜法书一轴，每随身携往。初应举，就杂文试，写毕，夜色犹早，以纸缄裹，置于箧中。及纳试，而误纳所宝书帖。却归铺，于烛笼中取书帖观览，则程试宛在箧中，遽惊嗟。计无所出，来往棘围门外。忽有老吏询其事，具以实告。吏曰：“某能换之。然某家贫，居兴道里，傥换得，愿以钱三万见酬。”公悦以许之。逡巡，赍程试入，而以书帖出授公。公愧谢而退。明日，归亲仁里，遽以钱送诣兴道。欵关久之，吏有家人出，公以姓氏质之。对曰：“主人死已三日矣，力贫未办周身之具。”公惊叹久之，方知棘围所见，乃鬼也，遂以钱赠其家。
01-082,01-刘宾客嘉话录,神仙佛道,未系年,,未明,【01-082】$ ^{*} $ 圣善寺银佛，天宝乱，为截将一耳。后少傅白公奉佛，用银三铤添补，然犹不及旧者。
01-088,01-刘宾客嘉话录,神仙佛道;死而复生;巫术厌胜,太宗李世民,贞观,未明,【01-088】$ ^{*} $贞观中，西域献胡僧，咒术能生死人。太宗令飞骑中拣壮勇者试之，如言而死，如言而苏。帝以告宗正卿傅奕，奕曰：“此邪法也。臣闻邪不干正，若使咒臣，必不能行。”帝令咒奕，奕对之初无所觉。须臾，胡僧忽然自倒，若为物所击者，便不复苏。
01-089,01-刘宾客嘉话录,神仙佛道;冥报报应,未系年,,未明,【01-089】$ ^{*} $阎立本善画，至荆州见张僧繇旧迹，曰：“定虚得名耳。”明日又往，曰：“犹近代佳手。”明日又往，曰：“名下定无虚士。”坐卧观之，留宿其下，十日不能去。张僧繇遂作醉僧图，每以此嘲之。于是诸僧聚钱十万，资阎立本作醉道士图。今并传于世。
01-097,01-刘宾客嘉话录,神仙佛道,太宗李世民,贞观,未明,【01-097】$ ^{*} $高宗承贞观之后，天下无事。上官侍郎独持国政，常凌晨入朝，巡洛水堤，步月徐辔，咏云：“脉脉广川流，驱马入长洲。鹊飞山月曙，蝉噪野风秋。”音韵清亮，群公望若神仙焉。
01-098,01-刘宾客嘉话录,鬼怪妖魅,未系年,,婚姻家庭;风俗信仰,【01-098】$ ^{*} $贾嘉隐年七岁，以神童召见。时长孙太尉无忌、徐司空勋，于朝堂立语。徐戏之曰：“吾所倚何树？”嘉隐云：“松树。”徐曰：“此槐也，何言松？”嘉隐云：“以公配木，何得非松？”长孙复问：“吾所倚何树？”曰：“槐树。”公曰：“汝不能复矫对耶？”嘉隐曰：“何烦矫对，但取其鬼木耳。”徐叹曰：“此小儿作獠面，何得如此聪明？”嘉隐云：“胡头尚为宰相，獠面何废聪明！”徐状胡也。
01-102,01-刘宾客嘉话录,神仙佛道,中宗李显,,医疗,【01-102】$ ^{*} $代有《山东士大夫类例》三卷，其非士类及假冒者不见录。署云“相州僧昙刚撰”。时柳常侍冲，亦明于族姓，中宗朝为相州刺史，询问旧老。云：“自隋以来，不闻有僧名昙刚。”盖疾于时，故隐其名氏云。
01-105,01-刘宾客嘉话录,鬼怪妖魅,未系年,,未明,【01-105】$ ^{*} $云阳县界多汉离宫，故地有似槐而叶细，土人谓之玉树。扬子云《甘泉赋》云：“玉树青葱。”后左思以雄为“假称珍怪”，盖不详也。
01-108,01-刘宾客嘉话录,神仙佛道,玄宗李隆基,开元,官运仕途,【01-108】其真本云“维永和十年三月癸卯朔九日辛亥”，而书亦是真小文。开元初年，润州江宁县瓦官寺修讲堂，匠人于鸱尾内竹简中得之，与一沙门。至八年，县丞李延业求得之，上岐王。岐王以献帝，便留不出。或云后借得岐王，十年，王家失火，图书悉为煨烬，此书亦见焚。
