source,paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,level4_animal,level4_animals_all,text
唐国史补,01-006,01-唐国史补卷上,鬼怪妖魅;神仙佛道,玄宗李隆基,开元,医疗;官运仕途,牛,牛,【01-006】玄宗开元二十四年，时在东都。因宫中有怪，明日召宰相，欲西幸。裴稷山、张曲江谏曰：“百姓场圃未毕，请待冬中。”是时李林甫初拜相，窃知上意，及班旅退，佯为蹇步。上问：“何故脚疾？”对曰：“臣非脚疾，愿独奏事。”乃言：“二京，陛下东西宫也。将欲驾幸，焉用择时？假有妨于刈获，则独可蠲免沿路租税。臣请宣示有司，即日西幸。”上大说，自此驾至长安，不复东矣。旬月，耀卿、九龄俱罢，而牛仙客进焉。
唐国史补,01-025,01-唐国史补卷上,神仙佛道,玄宗李隆基,,未明,马,马,【01-025】玄宗幸蜀，至马嵬驿，命高力士缢贵妃于佛堂前梨树下。马嵬店媪收得锦靿一只。相传过客每一借玩，必须百钱，前后获利极多，媪因至富。
唐国史补,01-033,01-唐国史补卷上,卜筮占相,未系年,,未明,龟,龟,【01-033】李华《含元殿赋》初成，萧颖士见之曰：“《景福》之上，《灵光》之下。”华著论言龟卜可废，可谓深识之士矣。以失节贼庭，故其文殷勤于四皓、元鲁山，极笔于权著作，心所愧也。
唐国史补,01-052,01-唐国史补卷上,卜筮占相,未系年,,未明,鱼,鱼,【01-052】鱼朝恩于国子监高座讲《易》，尽言《鼎卦》，以挫元、王。是日，百官皆在，缗不堪其辱，载独怡然。朝恩退曰：“怒者常情，笑者不可测也。”
唐国史补,01-053,01-唐国史补卷上,灵异神异,未系年,,未明,猿,猿,【01-053】楚州有渔人，忽于淮中钓得古铁锁，挽之不绝，以告官。刺史李阳大集人力引之。锁穷，有青猕猴跃出水，复没而逝。后有验《山海经》云：“水兽好为害，禹锁于军山之下，其名曰无支奇。”
唐国史补,01-054,01-唐国史补卷上,神仙佛道,未系年,,未明,蛇,蛇,【01-054】佛法自西土，故海东未之有也。天宝末，扬州僧鉴真，始往倭国，大演释教，经黑海蛇山，其徒号过海和尚。
唐国史补,01-091,01-唐国史补卷上,神仙佛道;死而复生,未系年,,未明,牛,牛,【01-091】李氏子为千牛，与其侪类登慈恩寺塔，穷危极险，跃出槛外，失身而坠，赖腰带挂钉，风摇久而未落。同登者惊倒槛内不能起。院僧径望急呼，一寺皆出以救，连衣为绳，久乃取之下，经宿乃苏。
唐国史补,01-093,01-唐国史补卷上,鬼怪妖魅,未系年,,医疗,鸟,鸟,【01-093】裴中令为江陵节度使，使军将谭弘受、王稹往岭南充使。向至桂林馆，为群鸟所噪，王稹以石击之，鸟中脑而坠死于竹林中。其同行谭弘受忽病头痛不可前，令王稹先行去，戒迤逦相待，或先报我家，令人相接。寻裴中令梦谭弘受言：“在道为王稹所杀，掠其钱物，委尸在竹林中。两日内王稹合到，乞令公治之。”王稹至，遂付推司，箠楚伏法。旬日弘受到，知击乌之事，乃是乌鬼报仇也。
唐国史补,01-101,01-唐国史补卷上,鬼怪妖魅,未系年,,医疗,鼠,鼠,【01-101】陆长源以旧德为宣武军行军司马，韩愈为巡官，同在使幕，或讥其年辈相辽。愈闻而答曰：一本作周愿曰“大虫老鼠，俱为十二相属，何怪之有！”旬日传布于长安。
唐国史补,02-030,02-唐国史补卷中,鬼怪妖魅,德宗李适,,政治征兆,马,马,【02-030】马司徒之子畅，以第中大杏馈窦文场。文场以进。德宗未尝见，颇怪之，令使就第封杏树。畅惧，进宅，废为奉诚园，屋木尽拆入内也。
唐国史补,02-047,02-唐国史补卷中,神仙佛道,宪宗李纯,元和,未明,马,马,【02-047】旧百官早朝，必立马于望仙建福门外，宰相于光宅车坊，以避风雨。元和初，始制待漏院。
唐国史补,02-050,02-唐国史补卷中,鬼怪妖魅,未系年,,医疗,鸟,鸟,【02-050】松脂入地，千岁为茯苓，茯苓千岁为琥魄，琥魄千岁为磬玉，愈久则愈精也。鹯鸟千岁为鸠，愈老则愈毒也。
唐国史补,02-062,02-唐国史补卷中,神仙佛道,未系年,,未明,羊,羊,【02-062】杜羔有至行，父为河北一尉而卒。母氏非嫡，经乱不知所之，羔尝抱终身之戚。会堂兄兼为泽潞判官，尝鞫狱于私第，有老妇辩对，见羔出入，窃谓人曰：“此少年状类吾儿。”诘之，乃羔母也，自此迎侍而归。又往来河北求父厝所，邑中故老已尽，不知所询，馆于佛庙，日夜悲泣，忽睹屋柱烟煤之下，见字数行，拂而视之，乃其父遗迹，言：“后我子孙，若求吾墓，当于某村某家询之。”羔号泣而往，果有老父年八十岁余，指其丘垅，因得归。羔至工部尚书致仕。
