source,paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,level4_animal,level4_animals_all,text
因话录,01-006,01-因话录卷第一,神仙佛道;谶谣征应,未系年,,医疗;婚姻家庭;禳灾祈福,马,马,【01-006】维某年月日，驸马都尉郭暖父，关内河东副元帅、司徒兼中书令、汾阳郡王臣子仪，谨遣上都进奏院官傅涛，敢昭告于贞懿皇后行宫：伏惟德曜坤灵，明齐月魄，母仪万国，化洽六宫，光辅圣人，赞成阴教，载荣史策，式播讴谣。奄违圣日，上仙灵界，遐迩痛愤，宫闱哀慕。臣幸忝诸亲，男尚贵主，天人之美，鞠育所钟，姻戚光荣，宗族咸戴。今园陵礼备，祖载及期，臣限守方镇，不获陪侍行宫，瞻望灵驾，不胜摧慕。伏荷皇恩，眷以国戚，许申祭礼，超越等夷，古今所绝，独开圣造，无任惶恐铭戴之至。谨献牲牢庶羞之奠。尚飨！
因话录,01-022,01-因话录卷第一,巫术厌胜,宣宗李忱,大中,官运仕途;命运寿夭;禳灾祈福,牛,牛,【01-022】大中七年冬，诏来年正月一日，御含元殿受朝贺。璘时为左补阙，请权御宣政殿。疏曰：伏以新正大庆，万国来朝。华夷愿睹盛仪，士庶固当胥悦。但窃闻关辅之内，频岁不登；自冬已来，降雪极少。尚须祈祷，方轸圣慈。伏见去岁之初，权御宣政。从宜之制，出自宸衷。事简礼全，人心为便。伏乞且推此例，停御含元，待至丰年，却依旧典。所冀觞称万寿，不愆元会之期；礼酌一时，益表圣明之美。臣官忝谏列，合陈管见。疏奏之明日，闻上谓宰臣曰：“有谏官疏来年御含元殿事如何？莫须罢否？”宰臣魏公谟奏曰：“元年大庆，正殿称贺，亦是常仪，况当无事之时。陛下肆觐百辟，朝廷盛礼，不可废阙。”上曰：“近华州奏，光化贼劫下邽县，又关辅久无雨雪，皆朕之忧，岂谓之无事？须与他罢。假如权御宣政，亦何不可也？”宰臣奉诏，方欲宣下，而日官奏太阳当亏，遂罢之。其后宰相因奏对，以遗补多阙，请更除八人。上曰：“谏官但要职业修举，亦岂在多。只如张道符、牛业、赵璘辈三数人足矣，使朕闻所未闻。”
因话录,02-017,02-因话录卷第二,神仙佛道,未系年,,官运仕途;禳灾祈福;风俗信仰,鹿,鹿;猿;鸟,【02-017】李司徒汧公镇宣武，戎事之隙，以琴书为娱。自造琴，聚新旧桐材，扣之合律者，则裁而胶缀；不中者弃之。故所蓄二琴殊绝，所谓“响泉”、“韵磬”者也。性不喜琴兼筝声，惟二宠妓曰秀奴、七七，皆聪慧善琴，兼筝与歌，时令奏之。自撰《琴谱》。兵部员外郎约，汧公之子也。以近属宰相子，而雅度玄机，萧萧冲远，德行既优，又有山林之致。琴道、酒德、诗调皆高绝，一生不近粉黛，性喜接引人物，不好俗谈。晨起草裹头，对客蹙融，便过一日。多蓄古器，在湖州，尝得古铁一片，击之清越。又养一猿名山公，尝以之随逐。月夜泛江登金山，击铁鼓琴，猿必啸和。倾壶达旦，不俟外宾。与璘先君同在浙西使府，居处相接，慕先君家行及诗韵，契分最深。伯父高陵府君夫人韦氏，即兵部之姨妹也。余虽不及见，每闻长属说其风格容仪，真神仙也。又传闻汧公徐夫人，虽生二子，中年于徐夫人琴瑟小乖，及兵部在母之后，情好加重，夫人情性益善于初。既得君于诸子之中，宝爱悬隔，天人降谪，信不诬矣。在官所得俸禄，付与从子，一不问数，惟给奉崔氏、元氏二孀姨，事事礼厚。元氏夫人有操行，祭酒弘农公既为传，此不复书。君初至金陵，于府主庶人锜坐，屡赞招隐寺标致。一日，庶人燕于寺中。明日谓君曰：“十郎尝夸招隐寺，昨游宴细看，何殊州中？”君笑曰：“某所赏者，疏野耳。若远山将翠幕遮，古松用彩物裹，腥膻涴鹿踣泉，音乐乱山鸟声，此则实不如在叔父大厅也。”庶人大笑。约天性唯嗜茶，能自煎。谓人曰：“茶须缓火炙，活火煎。”活火谓炭火之焰者也。客至不限瓯数，竟日执持茶器不倦。曾奉使行至陕州硖石县东，爱渠水清流，旬日忘发。
因话录,03-016,03-因话录卷第三,神仙佛道,未系年,,未明,龙,龙,【03-016】太子陆文学鸿渐名羽，其先不知何许人。竟陵龙盖寺僧，姓陆，于堤上得一初生儿，收育之，遂以陆为氏。及长，聪俊多能，学赡辞逸，诙谐纵辩，盖东方曼倩之俦。与余外祖户曹府君，外族柳氏，外祖洪府户曹讳澹，字中庸，别有传。交契深至。外祖有笺事状，陆君所撰。性嗜茶，始创煎茶法，至今鬻茶之家，陶为其像，置于炀器之间，云宜茶足利。余幼年尚记识一复州老僧，是陆僧弟子，常讽其歌云：“不羡黄金罍，不羡白玉杯。不羡朝入省，不羡暮入台。千羡万羡西江水，曾向竟陵城下来。”又有追感陆僧诗至多。
因话录,03-023,03-因话录卷第三,神仙佛道,未系年,,官运仕途;婚姻家庭;禳灾祈福,马,马,【03-023】文帝第三子恢，封鄱阳王，薨谥忠烈。恢生宜丰侯循。循生唐太子太保造。造生武威大将军夙。夙生雅州都督善义。善义生左卫录事参军元恭。元恭生密县主簿旻。旻生杨府功曹讳颖士，字茂挺，门人谥曰文元先生。先生一子存，字伯诚，为金部员外郎，谅直有功曹之风。时裴延龄为户部尚书，恃恩奸佞，与张滂不叶。金部恶延龄之为人，弃官归庐山，以山水自娱，识者甚高之。终于检校仓部郎中。生三子，皆无禄早世，无后。惟次子东，从事邑南，有二子，今皆流落江湖，假吏州县。功曹以其子妻门人柳君讳澹，字中庸，即余之外王父也。韩文公少时，常受萧金部知赏。及自袁州入为国子祭酒，途经江州，因游庐山，过金部山居，访知诸子凋谢，惟二女在。因赋诗曰：“中郎有女能传业，伯道无儿可主家。今日匡山过旧隐，空将衰泪对烟霞。”留百缣以拯之。或传功曹为李林甫所召，时在禪制中，谒见，林甫薄之，不复用。萧遂作《伐樱桃树赋》以刺。此盖不与者所诬也。功曹孝爱著于士林，李吏部华称其冒难葬亲，岂有越礼之事？此事且下萧公数等者不为。余尝闻外族长老说，林甫闻功曹名，欲见之，知在艰棘。后闻禪制已毕，令功曹所厚之人导意，请于萧君所居侧僧舍一见，遂许之。林甫出中书至寺，自以宰辅之尊，意谓功曹便于下马处趋见。功曹乃于门内哭以待之，林甫不得已前吊。由此怒其恃才敢与宰相敌礼，竟不问。后余见今丞相崔公铉，说正同。崔公外祖母柳夫人，亦余族姨，即李北海之外孙也。柳夫人聪明强记，且得于其外族，可为实录。
因话录,04-002,04-因话录卷第四,鬼怪妖魅;神仙佛道;巫术厌胜,宪宗李纯,元和,官运仕途;禳灾祈福,虎,虎,【04-002】元和初，南岳道士田良逸、蒋含弘，皆道业绝高，远近钦敬，时号田蒋。田以虚无为心，和煦待物，不事浮饰，而天格清峻，人见者褊怪尽去。吕侍郎渭、杨侍郎凭，相继廉问湖南，皆北面师事。潭州大旱，祈祷不获，或请邀致先生。杨公曰：“田先生岂为人祈雨者耶？”不得已迎之。先生蓬发弊衣，欣然就辇到郡，亦终无言，即日降雨。所居岳观，内建黄箓坛场，法具已陈，而天阴晦。弟子请先生祈晴，先生亦无言，岸帻垂发而坐。及行斋，左右代整冠履，扶而升坛，天即开霁。尝有村姥，持一碧绢襦来奉先生，先生对众便著之，在坐者窃笑，先生不以介意。杨公尝迎先生至潭州，先生方洗足，使到，乘小舟便行。侍者以履袜追及于衙门，先生即于门外坐砖阶著袜，旁若无人。杨再拜，亦不止之。喜饮酒，而言不及吉凶是非。及杨自京尹谪临贺尉，使使候先生，兼遗银器，先生受之，便悉付门人，作法会。使还，先生曰：“报汝阿本郎，不久即归，勿忧也。”未几，杨果移杭州长史。良逸未尝干人，人至亦不逆，不记人官位姓名第。与吕渭分最深。后郎中吕温刺衡州，因来候之，左右先告以使君是侍郎之子。及温入，下床抚其背曰：“尔是吕渭儿子耶？”温泫然降阶，田亦不止。其真朴如此。良逸母为喜王寺尼，尼众皆呼先生为小师。尝日负薪两束奉母，或有故不及往，即弟子代送之。或传寺尼晨起见一虎在田媪门外，走以告，媪曰：“此应是小师使送柴来，不足畏也。”蒋君混元之气，虽不及田，而修持趣尚亦相类。兄事于田，号为莫逆。蒋始善符术，自晦其道，人莫知之。后居九贞观，曾命弟子至县市斋物，不及期还，语其故云：“于山口见一猛兽当路，良久不去，以故迟滞。”蒋曰：“我在此庇伊已多时，何敢如此。”即以一符置所见处，明日兽踣符下。蒋闻之曰：“我本以符却之，使其不来，岂知不能自脱。既以害物，安用术为？”取符焚之，自此绝不复留意。有欧阳平者，行业亦高，又兄事蒋君，于田君即邻于入室。欧阳曾一夕梦三金炉自天而下，若有所召。既寤，潜告人曰：“二先生不久去矣，我继之。”俄而田君蜕去，蒋次之，欧阳亦逝。桐柏山陈寡言、徐灵府、冯云翼三人，皆田之弟子也。衡山周混沌，蒋之门人也。陈徐在东南，品第比田蒋，而冯在欧阳之列。周自幼入道，科法清严，今为南岳首冠。
因话录,04-009,04-因话录卷第四,神仙佛道,宪宗李纯,元和,未明,牛,牛,【04-009】元和中，僧鉴虚本为不知肉味，作僧素无道行。及有罪伏诛，后人遂作《鉴虚煮肉法》，大行于世。不妨他僧为之，置于鉴虚耳。亦犹《才命论》称张燕公，《革华传》称韩文公，《老牛歌》称白乐天，《佛骨诗》称郑司徒，皆后人所诬也。故其辞多鄙浅。
因话录,04-010,04-因话录卷第四,鬼怪妖魅;神仙佛道,未系年,,未明,鹿,鹿,【04-010】卢子严说，早年随其懿亲郑常侍东之同游宣州当涂，隐居山岩，即陶贞白炼丹所也。炉迹犹在，后为佛舍。有僧甚高洁，好事因说其先师名彦範，姓刘，虽为沙门，早究儒学，邑人呼为刘九经。颜鲁公、韩晋公、刘忠州、穆监宁、独孤常州皆与之善，各执经受业者数十人。年八十，犹精强，僧行不亏。性颇嗜酒，饮亦未尝及乱。学徒有携壶至者，欣然而受之。每进三数杯，则讲说方锐。所居有小圃，自植茶，为鹿所损，人劝以垣隔之，诸名士悉乐为运石共成。穆兵部贽，事之最谨。尝得美酒，密以小瓷壶置于怀中。累石之际，因白师曰：“有少好酒，和尚饮否？”彦範笑而倾饮。满似酣，则语穆曰：“不用般石，且来听书。”遂与剖析微奥，至多不倦。郑君更征其遗事，僧叹息久之曰：“近日尊儒重道，都无前辈之风。”因出一纸，穆兵部与书，倾寒暄之仪极卑敬。其略曰：“某偶忝名宦，皆因善诱。自居班列，终日尘屑。却思昔岁临清涧，荫长松，接待座下，获闻微言。未知何时复遂此事？遥瞻水中月，岭上云，但驰攀想而已。和尚薄于滋味，深于酒德，所食仅同婴儿，所饮或如少壮。常恐尊体有所不安，中夜思之，实怀忧恋。”其诚切如此。月日之下，但云门人姓名，状上和尚法座前，不言官位，当时嗜学事师，可谓至矣。又云，有耆宿僧总持，彦範之友也。为人清苦，一生未曾干人，惟自垦山种田数亩给衣食。或遇丰岁多麦，傍有滞穗，度知其主必不收者，拾之以归。若可惜者，则求而积之，召主以付，不至则置于路口，其独行如此。
因话录,04-018,04-因话录卷第四,神仙佛道,未系年,,官运仕途,狗,狗,【04-018】有人说李寰建节晋州，表兄武恭，性诞妄，又称好道及蓄古物。遇寰生日，无饷遣，乃箱擎一故皂袄子与寰云：“此是李令公收复京师时所服，愿尚书功业一似西平。”寰以书谢。后闻知恭生日，箱擎一破腻脂幞头饷恭曰：“知兄深慕高贞，求得一洪崖先生初得仙时幞头，愿兄得道，一如洪崖。”宾僚无不大笑。余尝读谢绰宗《拾遗录》云：江夏王义恭，性爱古物，常遍就朝士求之。侍中何勖已有所送，而王征索不已，何甚不平。尝出行于道，遇狗枷败犊鼻，乃命左右取之还，以箱擎送之。笺曰：“承复须古物，今奉李斯狗枷，相如犊鼻。”此颇与寰、恭相类耳。
因话录,05-006,05-因话录卷第五,鬼怪妖魅,武宗李炎,会昌,医疗;官运仕途;风俗信仰,马,马,【05-006】御史台三院，一曰台院，其僚曰侍御史，众呼为端公。见宰相及台长，则曰某姓侍御。知杂事，谓之杂端。见台长，则曰知杂侍御。虽他官高秩兼之，其侍御号不改。见宰相，则曰知杂某姓某官。台院非知杂者，乃俗号散端。二曰殿院，其僚曰殿中侍御史，众呼为侍御。见宰相及台长杂端，则曰某姓殿中。最新入，知右巡，已次知左巡，号两巡使，所主繁剧。及迁向上，则又入推，益为劳屑。惟其中间，则入清闲。故台中谚曰：“免巡未推，只得自知。”言其畅适也。厅有壁画小山水甚工，云是吴道玄真迹。三曰察院，其僚曰监察御史，众呼亦曰侍御。见宰相及台长杂端，则曰某姓监察。若三院同见台长，则通曰三院侍御，而主簿纪其所行之事。每公堂食会，杂事不至，则无所检辖，惟相揖而已。杂事至，则尽用宪府之礼，杂端在南榻，主簿在北榻，两院则分坐，虽举匕箸，皆绝谈笑。食毕，则主簿持黄卷揖曰：“请举事。”于是台院白杂端曰：“举事。”欲上堂，三院长各于会堂南廊下，先白杂端云：“合举事。”则举曰：“某姓侍御更有姓同者，则以第行别之。有某过，请准条。”主簿书之。其两院皆如此。若举时差错，则最小殿中举院长，最小侍御史举殿院长。又错，则向上人乃举。若杂端失笑，则三院皆笑，谓之烘堂，悉免罚矣。凡见黄卷罚直遇赦悉免，台长到诸院，凡官吏所罚，亦悉免。御史历三院虽至美，而月满殿中推鞫之劳，惮于转两院。以向下侍御史，便领推也，多不愿为，以此台中以殿中转两院为戏谑之辞。每出入行步，侍御史在柱里，殿察两院在柱外。有时殿中入柱里，则共咍之曰：“著直略反。去也。”三院御史主簿有事白端公，就其厅。若有中路白事，谓之“箩端”。箩端有罚。殿中已免巡，遇正知巡者假故，则向上人又权知，谓之“蘸巡”。台官有亲爱除拜喜庆之事，则谒院长、杂端、台长，谓之“取贺”。凡此皆因胥徒走卒之言，遂成故事。院长每上堂了各报，诸御史皆立于南廊，便服靸鞋以俟院长。立定，院长方出。相揖而序行，至殿院门，揖殿中。又序行，至食堂门，揖侍御史。凡入门至食，凡数揖。大抵揖者，古之肃拜也。台中无不揖，其酒无起谢之礼，但云揖酒而已。酒最合敬，以恐烦却揖。往往自台拜他官执事，亦误作台揖，人皆笑之。每赴朝，序行至待漏院偃息，则有卧揖。上门有马揖。凡院长在厅院内，御史欲往他院，必先白。决罚又必先白。察院有都厅，院长在本厅，诸人皆会话于都厅。御史初上，后遇杂端上堂，则举三愆九失仪，意缘是新人，欲并罚出。未遇杂端上堂，其犯旧条并不罚。察院南院，会昌初，监察御史郑路所葺。礼察厅谓之松厅，南有古松也。刑察厅谓之魔厅，寝于此多魔。兵察常主院中茶，茶必市蜀之佳者，贮于陶器，以防暑湿。御史躬亲缄启，故谓之“茶瓶厅”。吏察主院中入朝人次第名籍，谓之“朝簿厅”。吏察之上，则馆驿使。馆驿使之上，则监察使。监察使，同僚之冠也，谓之院长。台中敬长，三院皆有长。察院风彩尤峻。凡三院御史初拜，未朝谢，先谒院长。院长辞疾不见，则不得谢及上矣。诸家《御史台记》，多载当时御史事迹，戏笑之言，故事甚略。堂中有《仪注》，近渐遗阙，虽有版榜，亦但录一时要节，自此转恐磨灭矣。因与亲友话及此，遂粗疏之。
