source,paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,level4_animal,level4_animals_all,text
大唐传载,01-005,01-大唐传载,神仙佛道,未系年,,官运仕途,鱼,鱼,【01-005】费县西漏泽者，漫十数里。岁时雨降即泛滥自满，蒲鱼之利，人实赖焉。至白露应节前后一夕，即一空如扫焉。信殊异也。
大唐传载,01-013,01-大唐传载,神仙佛道,德宗李适,贞元,未明,麟,麟;马,【01-013】兴元元年十月戊辰，始诏中官窦文场监神策军左厢兵马，马有麟为左神策大将军。神策监军将军之始也。贞元十二年六月乙丑，始以窦文场为左神策护军中尉，霍仙鸣为右神策护军中尉，其日又以张尚进为神武中护军。左右辟仗使之始也。
大唐传载,01-027,01-大唐传载,神仙佛道,未系年,,未明,牛,牛,【01-027】宰相遥领节度使，自牛仙客始也。
大唐传载,01-042,01-大唐传载,鬼怪妖魅;神仙佛道,未系年,,未明,牛,牛,【01-042】贾至常侍平生毁佛。尝假寐厅事，忽见一牛首人，长不满尺，携小锅而燃薪于床前。公惊起而讯之，对曰：“所谓镬汤者，罪其毁佛人。”公曰：“小鬼何足畏耶？”遂伸足床下。其汤沸，忽染于足，涌然而上。未几，烘烂而卒。
大唐传载,01-092,01-大唐传载,鬼怪妖魅,敬宗李湛,宝历,医疗,猪,猪,【01-092】宝历中，亳州云出圣水，服之愈宿疾，亦无一差者。自洛已来，及江西数郡中人，争施金货衣服以饮焉，获利千万，人转相惑。李赞皇德裕在浙西也，命于大市集人置金，取其水，于市司取猪肉五斤煮，云：“若圣水也，肉当如故。”逡巡肉熟烂。自此人心稍定，妖者寻而败露。
大唐传载,01-096,01-大唐传载,神仙佛道,未系年,,禳灾祈福,龙,龙;鱼,【01-096】终南山有湫池，本咸阳大洲，一夜忽飞去。所历皆暴雨，与鱼俱下，大者至四五尺，小者不可胜计，遂落终南山中峰。水浮数尺，纵广一里余，色如黛黑，云雨常自中出，焦旱祈祷无不应焉。山僧采樵，时见群龙瀺灂其中。
大唐传载,01-103,01-大唐传载,神仙佛道,未系年,,未明,鱼,鱼,【01-103】薛汝丹家在南岳，常与一僧知闻。其僧每年以香炼顶供养佛，至八十余终。后岁余，有州民生一子，色貌绝殊，而顶甚香，十步之外，人皆慕之。生不食鱼肉，数岁出家，为南岳高行律师焉。
大唐传载,01-123,01-大唐传载,神仙佛道,未系年,,未明,龙,龙,【01-123】永州龙兴寺乃吴军司马蒙之故宅。僧怀素善草隶，尝浚井，得军司马印，文字不灭，雕刻如新。怀素每草书，用此为志。
大唐传载,01-137,01-大唐传载,神仙佛道,未系年,,未明,龙,龙,【01-137】五台山北台下有青龙池，约二亩已来，佛经云禁五百毒龙之所。每至盛午，昏雾暂开，比丘及净行居士方可一观。比丘尼及女子近，即雷电风雨，当时大作。如近池，必为毒气所吸，逡巡而没。
大唐传载,01-139,01-大唐传载,神仙佛道,未系年,,政治征兆,龙,龙,【01-139】李西台文献公避暑于青龙寺，梦戴白神人云：“昔尹氏相宣王，致中兴；君男亦佐中兴，君宜以吉甫名之。”
