paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,text
01-001,01-大唐新语卷一,卜筮占相;鬼怪妖魅,太宗李世民,贞观,医疗,【01-001】杜如晦少聪悟，精彩绝人。太宗引为秦府兵曹，俄改陕州长史。房玄龄闻于太宗曰：“余人不足惜，杜如晦聪明识达，王佐之才。若大王守藩，无用之；必欲经营四方，非此人不可。”太宗乃请为秦府掾，封建平县男，补文学馆学士。令文学褚亮为之赞曰：“建平文雅，休有烈光。怀忠履义，身立名扬。”贞观初为右仆射，玄龄为左仆射。太宗谓之曰：“公为仆射，当须大开耳目，求访贤哲，此乃宰相之弘益。比闻听受词诉，日不暇给，安能为朕求贤哉！”自是台阁规模，皆二人所定。其法令意在宽平，不求备以取人，不以己长格物。如晦、玄龄引进之，如不及也。太宗每与玄龄图事，则曰：“非如晦莫能筹之。”及如晦至，卒用玄龄之策。二人相须以断大事，迄今言良相者，称房、杜焉。及如晦薨，太宗谓虞世南曰：“吾与如晦，君臣义重，不幸物化，实痛于怀。卿体吾意，为制碑也。”后太宗尝新瓜美，怆然悼之，辍其半，使置之灵座。及赐玄龄黄银带，因谓之曰：“如晦与公，同心辅朕，今日所赐，惟独见公。”泫然流涕。以黄银带辟恶，为鬼神所畏，命取金带，使玄龄送之于其家也。
01-003,01-大唐新语卷一,鬼怪妖魅,太宗李世民,,官运仕途;禳灾祈福,【01-003】徵诘之曰：“五帝三皇，不易人而理。行帝道则帝，行王道则王，在其所化而已。考之载籍，可得而知。昔黄帝与蚩尤战，既胜之后，便致太平。九夷乱德，颛顼征之，既克之后，不失其理。桀为乱，汤放之；纣无道，武王伐之：而俱致太平。若言人渐浇讹，不返朴素，至今应为鬼魅，宁可得而教化耶？”德彝无以难之。徵薨，太宗御制碑文并御书。后为人所谗，敕令踣之。及征辽不如意，深自悔恨，乃叹曰：“魏徵若在，不使我有此举也。”既渡水，驰驿以少牢祭之，复立碑焉。
01-007,01-大唐新语卷一,谶谣征应,高宗李治,,未明,【01-007】高宗朝，晋州地震，雄雄有声，经旬不止。高宗以问张行成，行成对曰：“陛下本封于晋，今晋州地震，不有征应，岂使徒然哉！夫地阴也，宜安静，而乃屡动。自古祸生宫掖，衅起宗亲者，非一朝一夕。或恐诸王、公主谒见频频，承间伺隙。复恐女谒用事，臣下阴谋。陛下宜深思虑，兼修德，以杜未萌。”高宗深纳之。
01-008,01-大唐新语卷一,神仙佛道,高宗李治,,医疗;官运仕途;政治征兆;禳灾祈福,【01-008】则天朝，默啜陷赵、定等州，诏天官侍郎吉顼为相州刺史，发诸州兵以讨之，略无应募者。中宗时在春宫，则天制皇太子为元帅，亲征之。吏人应募者，日以数千。贼既退，顼征还，以状闻。则天曰：“人心如是邪？”因谓顼曰：“卿可于众中说之。”顼于朝堂昌言，朝士闻者喜悦。诸武患之，乃发顼弟兄赃状，贬为安固尉。顼辞日，得召见，涕泪曰：“臣辞阙庭，无复再谒请言事。臣疾亟矣，请坐筹之。”则天曰：“可。”顼曰：“水土各一盆，有竞乎？”则天曰：“无。”顼曰：“和之为泥，竞乎？”则天曰：“无。”顼曰：“分泥为佛，为天尊，有竞乎？”则天曰：“有。”顼曰：“臣亦为有。窃以皇族外戚，各有区分，岂不两安全耶？今陛下贵贱是非于其间，则居必竞之地。今皇太子万福，而三思等久已封建，陛下何以和之？臣知两不安矣。”则天曰：“朕深知之，然事至是。”顼与张昌宗同供奉控鹤府。昌宗以贵宠惧不全，计于顼。顼曰：“公兄弟承恩泽深矣，非有大功，必无全理。唯一策，若能行之，岂唯全家，当享茅土之封。除此外，非顼所谋。”昌宗涕泣请闻之，顼曰：“天下思唐德久矣，主上春秋高，武氏诸王殊非所属意。公何不从容请复相王、庐陵，以慰生人之望？”昌宗乃乘间屡言之。几一岁，则天意乃易。既知顼之谋，乃召顼问。顼对曰：“庐陵、相王，皆陛下子。高宗初顾托于陛下，当有所注意。”乃迎中宗。其兴复唐室，顼有力焉。睿宗登极，下诏曰：“曩时王命中圮，人谋未辑，首陈反正之议，克创祈天之业。永怀忠烈，宁忘厥勋，可赠御史大夫。”
01-010,01-大唐新语卷一,神仙佛道,太宗李世民,,政治征兆,【01-010】长安末张易之等将为乱，张柬之阴谋之，遂引桓彦範、敬晖、李湛等为将，委以禁兵。神龙元年正月二十三日，晖等率兵将至玄武门。王同皎、李湛等先遣往迎皇太子于东宫，启曰：“张易之兄弟反道乱常，将图不轨。先帝以神器之重，付殿下主之，无罪幽废，人神愤惋，二十三年于兹矣。今天启忠勇，北门将军、南衙执政，克期以今日诛凶竖，复李氏社稷。伏愿殿下暂至玄武门，以副众望。”太子曰：“凶竖悖乱，诚合诛夷，如圣躬不康何？虑有惊动，请为后图。”同皎讽谕久之，太子乃就路。又恐太子有悔色，遂扶上马。至玄武门，斩关而入，诛易之等于迎仙院。则天闻变，乃起，见太子曰：“乃是汝邪？小儿既诛，可还东宫。”桓彦範进曰：“太子安得更归！往者天皇弃群臣，以爱子托陛下。今太子年长，久居东宫，将相大臣思太宗、高宗之德，诛凶竖，立太子，兵不血刃而清内难，则天意人事归乎李氏久矣。今圣躬不康，神器无主，陛下宜‘复子明辟’，以顺亿兆神祇之心。臣等谨奉天意，不敢不请陛下传立爱子。万代不绝，天下幸甚矣！”则天乃卧不语。见李湛，曰：“汝是诛易之兄弟人耶？我养汝辈，翻见今日！”湛不敢对。湛，义府之子也。
01-014,01-大唐新语卷一,神仙佛道,玄宗李隆基,,官运仕途,【01-014】姚崇以拒太平公主，出为申州刺史，玄宗深德之。太平既诛，征为同州刺史。素与张说不叶，说讽赵彦昭弹之，玄宗不纳。俄校猎于渭滨，密召崇会于行所，玄宗谓曰：“卿颇知猎乎？”崇对曰：“此臣少所习也。臣年三十，居泽中，以呼鹰逐兔为乐，犹不知书。张璟谓臣曰：‘君当位极人臣，无自弃也。’尔来折节读书，以至将相。臣少为猎师，老而犹能。”玄宗大悦，与之偕马臂鹰，迟速在手，动必称旨。玄宗欢甚，乐则割鲜，闲则咨以政事。备陈古今理乱之本上之，可行者必委曲言之。玄宗心益开，听之亹亹忘倦。军国之务，咸访于崇。崇罢冗职，修旧章，内外有叙。又请无赦宥，无度僧，无数迁吏，无任功臣以政。玄宗悉从之，而天下大理。
01-015,01-大唐新语卷一,鬼怪妖魅;神仙佛道,武则天,,官运仕途;命运寿夭;禳灾祈福;风俗信仰,【01-015】张说独排太平之党，请太子监国，平定祸乱，迄为宗臣。前后三秉大政，掌文学之任，几三十年。为文思精，老而益壮，尤工大手笔，善用所长，引文儒之士以佐王化。得僧一行赞明阴阳律历，以敬授人时；封太山，祠睢上，举阙礼，谒五陵，开集贤，置学士：功业恢博，无以加矣。尚然诺于君臣朋友之际，大义甚笃。及薨，玄宗为之罢元会，制曰：“弘济艰难，参其功者时杰；经纬礼乐，赞其道者人师。式瞻而百度允厘，既往而千载贻范。台衡轩鼎，垂黼藻于当年；徽策宠章，播芳蕤于后叶。故尚书左丞相燕国公说，星象降灵，云龙合契，元和体其冲粹，妙有释其至赜。挹而莫测，仰之弥高。释义探系表之微，英词鼓天下之动，昔传风讽，绸缪岁华。含春谷之声，和而必应；蕴泉源之智，启而斯沃。授命与国，则天衢以通；济同以和，则朝政惟允。司钧总六官之纪，端揆为万邦之式。方弘风纬俗，返本于上古之初；而迈德振仁，不臻于中寿之福。吁嗟不愁，既丧斯文！宣室余谈，洽若在耳；玉殿遗草，宛然留迹。言念忠贤，良深震悼。是用当宁抚几，临乐撤悬，罢称觞之仪，遵往禭之礼。可赐太师，赙物五百段。”礼有加等，儒者荣之。
02-012,02-大唐新语卷二,神仙佛道;巫术厌胜,高祖李渊,,官运仕途;政治征兆;巫蛊害人;禳灾祈福,【02-012】中书令郝处俊：高宗将下诏逊位于则天摄知国政，召宰臣议之。处俊对曰：“《礼经》云：‘天子理阳道，后理阴德。’然则帝之与后，犹日之与月，阴之与阳，各有所主，不相夺也。若失其序，上则谪见于天，下则祸成于人。昔魏文帝著令，崩后尚不许皇后临朝，奈何遂欲自禅位于天后？况天下者，高祖、太宗之天下，非陛下之天下。正合谨守宗庙，传之子孙，不可持国与人，有私于后。惟陛下详审。”中书侍郎李义琰进曰：“处俊所引经典，其言至忠。惟圣虑无疑，则苍生幸甚。”高宗乃止。及天后受命，处俊已殁，孙象竟被族诛。始，则天以权变多智，高宗将排群议而立之。及得志，威福并作，高宗举动，必为掣肘。高宗不胜其忿。时有道士郭行真出入宫掖，为则天行厌胜之术。内侍王伏胜奏之。高宗大怒，密召上官仪废之，因奏：“天后专恣，海内失望，请废黜以顺天心。”高宗即令仪草诏。左右驰告则天，遽诉诏草犹在。高宗恐其怨怼，待之如初，且告之曰：“此并上官仪教我。”则天遂诛仪及伏胜等，并赐太子忠死。自是政归武后，天子拱手而已，竟移龟鼎焉。
02-013,02-大唐新语卷二,鬼怪妖魅,中宗李显,,官运仕途,【02-013】周兴、来俊臣罗织衣冠，朝野惧慑，御史大夫李嗣真上疏奏曰：“臣闻陈平事汉祖，谋疏楚之君臣，乃用黄金七十斤，行反间之术。项羽果疑臣下，陈平之计遂行。今告事纷纭，虚多实少。如当有凶慝，焉知不先谋疏陛下君臣，后除国家良善。臣恐有社稷之祸，伏乞陛下回思迁虑，察臣狂瞽，然后退就鼎镬，实无所恨。臣得殁为忠鬼，孰与存为谄人。如罗织之徒，即是疏间之渐，陈平反间，其远乎哉？”遂为俊臣所构，放于岭表。俊臣死，征还，途次桂阳而终，赠济州刺史。中宗朝追复本官。
02-016,02-大唐新语卷二,谶谣征应,中宗李显,,官运仕途,【02-016】张柬之既迁则天于上阳宫，中宗犹以皇太子监国，告武氏之庙。时累日阴翳，侍御史崔浑奏曰：“方今国命初复，正当徽号称唐，顺万姓之心。奈何告武氏庙？庙宜毁之，复唐鸿业，天下幸甚。”中宗深纳之。制命既行，阴云四除，万里澄廓，咸以为天人之应。
