paragraph_id,volume,main_emperor,main_era,all_emperors,all_eras,classification_type,text
06-001,06-朝野佥载卷六,玄宗李隆基,天宝,玄宗李隆基,天宝,era,【06-001】天宝中，万年主簿韩朝宗尝追一人，来迟，决五下。将过县令，令又决十下。其人患天行病而卒。后于冥司下状言，朝宗遂被追至。入乌头门极大，至中门前，一双桐树，门边一阁垂帘幕，窥见故御史洪子舆坐。子舆曰：“韩大何为得此来？”朝宗云：“被追来，不知何事。”子舆令早过大使。入屏墙，见故刑部尚书李义。朝宗参见，云：“何为决杀人？”朝宗诉云：“不是朝宗打杀，县令重决，由患天行病自卒，非朝宗过。”又问：“县令决汝，何牵他主簿！朝宗无事。然亦县丞，悉见例皆受行杖。”亦决二十放还。朝宗至晚始苏，脊上青肿，疼痛不复可言，一月已后始可。于后巡检坊曲，遂至京城南罗城，有一坊中，一宅门向南开，宛然记得追来及乞杖处。其宅中无人居。问人，云此是公主凶宅，人不敢居。乃知大凶宅皆鬼神所处，信之。
06-002,06-朝野佥载卷六,,,,,independent,【06-002】神鼎师不肯剃头，食酱一斗。每巡门乞物，得粗布破衣亦着，得绸锦罗绮亦着。于利贞师座前听，问贞师曰：“万物定否？”贞曰：“定。”鼎曰：“阇梨言若定，何因高岸为谷，深壑为陵？有死即生，有生即死，万物相纠，六道轮回，何得为定耶！”贞曰：“万物不定。”鼎曰：“若不定，何不唤天为地，唤地为天，唤月为星，唤星为月？何得为不定！”贞无以应之。时张文成见之，谓曰：“观法师即是菩萨行人也。”鼎曰：“菩萨得之不喜，失之不悲，打之不怒，骂之不嗔，此乃菩萨行人也。鼎今乞得即喜，不得即悲，打之即怒，骂之即嗔。以此论之，去菩萨远矣。”
06-003,06-朝野佥载卷六,,,,,independent,【06-003】空如禅师者，不知何许人也。少慕修道，父母抑婚，以刀割其势，乃止。后成丁，征庸课，遂以麻蜡裹臂，以火蒸之，遂成废疾。入陆浑山坐兰若，虎不为暴。山中偶见野猪与虎斗，以藜杖挥之，曰：“檀越不须相争。”即弭耳分散。人皆敬之，无敢议者。
06-004,06-朝野佥载卷六,,,,,independent,【06-004】司刑司直陈希闵以非才任官，庶事凝滞。司刑府史目之为“高手笔”，言秉笔支额，半日不下，故名“高手笔”。又号“按孔子”，言窜削至多，纸面穿穴，故名“按孔子”。
06-005,06-朝野佥载卷六,,,,,independent,【06-005】衢州龙游县令李凝道性褊急。姊男年七岁，故恼之，即往逐之，不及，遂饼诱得之，咬其胸背流血，姊救之得免。又乘驴于街中，有骑马人靴鼻拔其膝，遂怒，大骂，将殴之。马走，遂无所及，忍恶不得，遂嚼路旁棘子流血。
06-006,06-朝野佥载卷六,太宗李世民,贞观,太宗李世民,贞观,era,【06-006】贞观中，冀州武强县丞尧君卿失马，既得贼，枷禁未决。君卿指贼面而骂曰：“老贼吃虎胆来，敢偷我物！”贼举枷击之，应时脑碎而死。
06-007,06-朝野佥载卷六,玄宗李隆基,开元,玄宗李隆基,开元,era,【06-007】开元中，萧颖士方年十九，擢进士。至二十余，该博三教。其赋性躁忿浮戾，举无其比。常使一仆杜亮，每一决责，皆由非义。平复，遭其指使如故。或劝亮曰：“子佣夫也，何不择其善主，而受苦若是乎？”亮曰：“愚岂不知。但爱其才学博奥，以此恋恋不能去。”卒至于死。
06-008,06-朝野佥载卷六,敬宗李湛,,敬宗李湛,,emperor,【06-008】敬宗时，高崔巍喜弄痴。大帝令给使捺头向水下，良久，出而笑之。帝问，曰：“见屈原，云：‘我逢楚怀王无道，乃沉汨罗水。汝逢圣明主，何为来？’”帝大笑，赐物百段。
06-009,06-朝野佥载卷六,,,,,independent,【06-009】秋官侍郎狄仁杰嘲秋官侍郎卢献曰：“足下配马乃作驴。”
06-010,06-朝野佥载卷六,,,,,independent,【06-010】献曰：“中劈明公，乃成二犬。”杰曰：“狄字犬旁火也。”献曰：“犬边有火，乃是煮熟狗。”
06-011,06-朝野佥载卷六,,,,,independent,【06-011】吏部侍郎李安期，隋内史德林之孙，安平公百药之子，性好机警。常有选人被放，诉云：“羞见来路。”安期问：“从何关来？”“从蒲津关来。”安期曰：“取潼关路去。”选者曰：“耻见妻子。”安期曰：“贤室本自相谙，亦不笑。”又一选人引铨，安期看判曰：“弟书稍弱。”对曰：“昨坠马损足。”安期曰：“损足何废好书？”为读判曰：“向看弟判，非但伤足，兼似内损。”其人惭而去。又选士姓杜名若，注芳洲官，其人惭而不伏。安期曰：“君不闻芳洲有杜若？”其人曰：“可以赠名公。”曰：“此期非彼期。”若曰：“此若非彼若。”安期笑，为之改注。又一吴士，前任有酒状，安期曰：“君状不善。”吴士曰：“知暗枪已入。”安期曰：“为君拔暗枪。”答曰：“可怜美女。”安期曰：“有精神选，还君好官。”对曰：“怪来晚。”安期笑而与官。
06-012,06-朝野佥载卷六,,,,,independent,【06-012】尹神童每说，伯乐令其子执《马经》画样以求马，经年无有似者。归以告父，乃更令求之。出见大虾蟆，谓父曰：“得一马，略与相同，而不能具。”伯乐曰：“何也？”对曰：“其隆颅跌目脊郁缩，但蹄不如累趋尔。”伯乐曰：“此马好跳踯，不堪也。”子笑乃止。
06-013,06-朝野佥载卷六,,,,,independent,【06-013】安南有象缺，有理者即过。负心者以鼻卷之，掷空中数丈，以牙接之，应时碎矣。莫敢竞者。
