paragraph_id,volume,main_emperor,main_era,all_emperors,all_eras,classification_type,text
01-001,01-朝野佥载卷一,太宗李世民,贞观,太宗李世民,贞观,era,【01-001】贞观年中，定州鼓城县人魏全家富，母忽然失明。问卜者王子贞，子贞为卜之，曰：“明年有人从东来青衣者，三月一日来，疗必愈。”至时，候见一人着青绸襦，遂邀为设饮食。其人曰：“仆不解医，但解作犁耳，为主人作之。”持斧绕舍求犁辕，见桑曲枝临井上，遂斫下。其母两眼焕然见物。此曲桑盖井之所致也。
01-002,01-朝野佥载卷一,,,,,independent,【01-002】周郎中裴珪妾赵氏，有美色，曾就张璟藏卜年命。藏曰：“夫人目长而漫视，准相书，猪视者淫。妇人目有四白，五夫守宅。夫人终以奸废，宜慎之。”赵笑而去。后果与合宫尉卢崇道奸，没入掖庭。
01-003,01-朝野佥载卷一,武则天,垂拱,武则天,垂拱,era,【01-003】杜景佺，信都人也。本名元方，垂拱中，更为景佺。刚直严正。进士擢第，后为鸾台侍郎、平章事。时内史李昭德以刚直下狱，景佺廷诤其公清正直。则天怒，以为面欺，左授溱州刺史。初任溱州，会善筮者于路，言其当重入相，得三品，而不着紫袍。至是夏中服紫衫而终。
01-004,01-朝野佥载卷一,,,,,independent,【01-004】瀛州人安县令张怀礼、沧州弓高令晋行忠就蔡微远卜。转式讫，谓礼曰：“公大亲近，位至方伯。”谓忠曰：“公得京官，今年禄尽，宜致仕可也。”二人皆应举，怀礼授左补阙，后至和、复二州刺史。行忠授城门郎，至秋而卒。
01-005,01-朝野佥载卷一,玄宗李隆基,开元,玄宗李隆基,开元,era,【01-005】开元二年，梁州道士梁虚州以九宫推算张骞云：“五鬼加年，天罡临命，一生之大厄。以《周易》筮之，遇《观》之《涣》，主惊恐；后风行水上，事即散。”安国观道士李若虚，不告姓名，暗使推之。云：“此人今年身在天牢，负大辟之罪乃可以免。不然病当死，无救法。”果被御史李全交致其罪，敕令处尽。而刑部尚书李日知，左丞张廷珪、崔玄昇，侍郎程行谋咸请之，乃免死，配流岭南。二道士之言信有征矣。
01-006,01-朝野佥载卷一,,,,,independent,【01-006】泉州有客卢元钦染大疯，惟鼻根未倒。属五月五日官取蚺蛇胆欲进，或言肉可治疯，遂取一截蛇肉食之。三五日后渐可，百日平复。又商州有人患大疯，家人恶之，山中为起茅舍。有乌蛇坠酒器中，病人不知，饮酒渐差。罂底见蛇骨，方知其由也。
01-007,01-朝野佥载卷一,武则天,,武则天,,emperor,【01-007】则天时，凤阁侍郎周允元朝罢入阁。太平公主唤一医人自光政门入，见一鬼撮允元头，二鬼持棒随其后，直入景运门。医白公主，公主奏之。上令给使觇问，在阁无事。食讫还房，午后如厕。长参典怪其久私，往候之，允元踣面于厕上，目直视，不语，口中涎落。给使奏之，上问医曰：“此可得几时？”对曰：“缓者三日，急者一日。”上与锦被覆之，并床舁送宅，止夜半而卒。上自为诗以悼之。
01-008,01-朝野佥载卷一,武则天,久视,武则天,久视,era,【01-008】久视年中，襄州人杨元亮年二十余，于虔州汶山观佣力。昼梦见天尊云：“我堂舍破坏，汝为我修造，遣汝能医一切病。”寤而悦之，试疗无不愈者。赣县里正背有肿大如拳，亮以刀割之，数日平复。疗病日获十千，造天尊堂成，疗病渐无效。
01-009,01-朝野佥载卷一,武则天,如意,武则天,如意,era,【01-009】如意年中，洛州人赵玄景病卒五日而苏，云见一僧与一木长尺余，教曰：“人有病者，汝以此木拄之即愈。”玄景得见机上尺，乃是僧所与者，试将疗病，拄之立差，门庭每日数百人。御史马知己以其聚众，追之禁左台，病者满于台门。则天闻之，追入内，宫人病，拄之即愈，放出任救百姓病。数月以后，得钱七百余贯。后渐无验，遂绝。
01-010,01-朝野佥载卷一,,,,,independent,【01-010】洛州有士人患应语病，语即喉中应之。以问善医张文仲，经夜思之，乃得一法。即取《本草》令读之，皆应；至其所畏者，即不言。仲乃录取药，合和为丸，服之应时而愈。一云问医苏澄云。
01-011,01-朝野佥载卷一,,,,,independent,【01-011】郝公景于泰山采药，经市过。有见鬼者，怪群鬼见公景皆走避之。遂取药和为“杀鬼丸”，有病患者服之差。
01-012,01-朝野佥载卷一,,,,,independent,【01-012】定州人崔务坠马折足，医令取铜末和酒服之，遂痊平。及亡后十余年改葬，视其胫骨折处，有铜末束之。
01-013,01-朝野佥载卷一,,,,,independent,【01-013】岭南风俗，多为毒药。令奴食冶葛死，埋之土中。蕈生正当腹上，食之立死；手足额上生者，当日死；旁自外者，数日死；渐远者，或一月，或两月；全远者，一年、二年、三年亦即死。惟陈怀卿家药能解之。或以涂马鞭头控上，拂着手即毒，拭着口即死。
01-014,01-朝野佥载卷一,,,,,independent,【01-014】赵延禧云，遭恶蛇虺所螫处，贴之艾炷，当上灸之，立差，不然即死。凡蛇啮，即当啮处灸之，引去毒气即止。
01-015,01-朝野佥载卷一,,,,,independent,【01-015】冶葛食之立死。有冶葛处即有白藤花，能解冶葛毒。鸩鸟食水之处即有犀牛，不濯角。其水物食之必死，为鸩食蛇之故。
01-016,01-朝野佥载卷一,,,,,independent,【01-016】医书言：虎中药箭食清泥；野猪中药箭豗荠苨而食；雉被鹰伤，以地黄叶帖之。又：礜石可以害鼠。张鸶曾试之，鼠中毒如醉，亦不识人，犹知取泥汁饮之，须臾平复。鸟兽虫物犹知解毒，何况人乎？被蚕啮者，以甲虫末傅之；被马咬者，以烧鞭鞘灰涂之。盖取其相服也。蜘蛛啮者，雄黄末傅之。筋断须续者，取旋复根绞取汁，以筋相对，以汁涂而封之，即相续如故。蜀儿奴逃走多刻筋，以此续之，百不失一。
01-017,01-朝野佥载卷一,高宗李治,永徽,高宗李治,永徽,era,【01-017】永徽中有崔爽者，每食生鱼三斗乃足。于后饥，作鲙未成，爽忍饥不禁，遂吐一物，状如虾蟆。自此之后，不复能食鲙矣。
01-018,01-朝野佥载卷一,,,,,independent,【01-018】国子司业、知制诰崔融病百余日，腹中虫蚀极痛，不可忍。有一物如守宫从下部出，须臾而卒。
01-019,01-朝野佥载卷一,,,,,independent,【01-019】后魏孝文帝定四姓，陇西李氏大姓，恐不入，星夜乘鸣驼，倍程至洛。时四姓已定讫，故至今谓之“驼李”焉。
01-020,01-朝野佥载卷一,高宗李治,乾封,高宗李治;武则天,乾封;垂拱,era,【01-020】张文成曰：乾封以前选人，每年不越数千；垂拱以后，每岁常至五万。人不加众，选人益繁者，盖有由矣。尝试论之，只如明经、进士、十周、三卫、勋散、杂色、国官、直司，妙简实材，堪入流者十分不过一二。选司考练，总是假手冒名，势家嘱请。手不把笔，即送东司；眼不识文，被举南馆。正员不足，权补试、摄、检校之官。贿货纵横，赃污狼藉。流外行署，钱多即留，或帖司助曹，或员外行案。更有挽郎、辇脚、营田、当屯，无尺寸工夫，并优与处分，皆不事学问，唯求财贿。是以选人冗冗，甚于羊群；吏部喧喧，多于蚁聚。若铨实用，百无一人。积薪化薪，所从来远矣。
01-021,01-朝野佥载卷一,,,,,independent,【01-021】郑愔为吏部侍郎掌选，赃污狼藉。引铨有选人系百钱于靴带上，愔问其故，答曰：“当今之选，非钱不行。”愔默而不言。时崔湜亦为吏部侍郎掌选，有铨人引过，分疏云：“某能翘关负米。”湜曰：“君壮，何不兵部选？”答曰：“外边人皆云：‘崔侍郎下，有气力者即存。’”
01-022,01-朝野佥载卷一,中宗李显,景龙,中宗李显,景龙,era,【01-022】景龙中，斜封得官者二百人，从屠贩而践高位。景云践祚，尚书宋璟、御史大夫毕构奏停斜封人官。璟、构出，后见鬼人彭君卿受斜封人贿赂，奏云见孝和，怒曰：“我与人官，何因夺却！”于是斜封皆复旧职。伪周革命之际，十道使人天下选残明经、进士及下村教童蒙博士，皆被搜扬，不曾试练，并与美职。尘黩士人之品，诱悦愚夫之心，庸才者得官以为荣，有才者得官以为辱。昔赵王伦之篡也，天下孝廉秀才茂异，并不简试，雷同与官，市道屠沽、亡命不轨，皆封侯略尽。太府之铜不供铸印，至有白版侯者。朝会之服，貂者大半，故谣云“貂不足，狗尾续”。小人多幸，君子耻之。无道之朝，一何连类也，惜哉！
01-023,01-朝野佥载卷一,武则天,,武则天,,emperor,【01-023】天后中，契丹李尽忠、孙万荣之破营府也，以地牢囚汉俘数百人。闻麻仁节等诸军欲至，乃令守囚霤等绐之曰：“家口饥寒，不能存活。求待国家兵到，吾等即降。”其囚日别与一顿粥，引出安慰曰：“吾此无饮食养汝，又不忍杀汝，总放归若何？”众皆拜伏乞命，乃绐放去。至幽州，具说饥冻逗留。兵士闻之，争欲先入。至黄獐峪，贼又令老者投官军，送遗老牛瘦马于道侧。仁节等三军弃步卒，将马先争入，被贼设伏横截，军将被索缟之，生擒节等，死者填山谷，罕有一遗。
01-024,01-朝野佥载卷一,中宗李显,景龙,中宗李显,景龙,era,【01-024】景龙四年，洛州凌空观失火，万物并尽，惟有一真人岿然独存，乃泥塑为之。后改为圣真观。
01-025,01-朝野佥载卷一,玄宗李隆基,先天,玄宗李隆基,先天,era,【01-025】西京朝堂北头有大槐树，隋曰唐兴材门首。文皇帝移长安城，将作大匠高频常坐此树下检校。后栽树行不正，欲去之，帝曰：“高频坐此树下，不须杀之。”至今先天百三十年，其树尚在，柯叶森竦，株根盘礴，与诸树不同。承天门正当唐兴材门首，今唐家居焉。
01-026,01-朝野佥载卷一,高宗李治,永徽,高宗李治;中宗李显,永徽;神龙,era,【01-026】永徽年以后，人唱《桑条歌》云：“桑条莆，女韦也乐。”至神龙年中，逆韦应之。谄佞者郑愔作《桑条乐词》十余首进之，逆韦大喜，擢之为吏部侍郎，赏缣百匹。
01-027,01-朝野佥载卷一,高宗李治,龙朔,高宗李治;武则天,龙朔;圣历,era,【01-027】龙朔以来，人唱歌名《突厥盐》。后周圣历年中，差阎知微和匈奴，授三品春官尚书，送武延秀往娶默啜女，送金银器物、锦彩衣裳以为礼聘，不可胜纪。突厥翻动，汉使并没，立知微为可汗，乃《突厥盐》之应。
01-028,01-朝野佥载卷一,高宗李治,调露,高宗李治,调露;永淳,era,【01-028】调露中，大帝欲封中岳，属突厥叛而止。后又欲封，土番入寇，遂停。至永淳年，又驾幸嵩岳，谣曰：“嵩山凡几层，不畏登不得，只畏不得登。三度征兵马，傍道打腾腾。”岳下遘疾，不愈，回至宫而崩。
01-029,01-朝野佥载卷一,高宗李治,永淳,高宗李治,永淳,era,【01-029】永淳之后，天下皆唱“杨柳，杨柳，漫头驼”。后徐敬业犯事，出柳州司马，遂作伪敕，自授扬州司马，杀长史陈敬之，据江、淮反。使李孝逸讨之，斩业首，驿马驼入洛。“杨柳，杨柳，漫头驼”，此其应也。
01-030,01-朝野佥载卷一,武则天,如意,武则天,如意,era,【01-030】周如意年中以来，始唱《黄獐歌》，其词曰：“黄獐，黄獐，草里藏，弯弓射你伤。”俄而契丹反叛，杀都督赵文翙，营府陷没。差总管曹仁师、张玄遇、麻仁节、王孝杰，前后百万众，被贼败于黄獐谷，诸军并没，罔有孑遗。《黄獐》之歌，斯为验矣。
01-031,01-朝野佥载卷一,武则天,垂拱,武则天,垂拱,era,【01-031】周垂拱已来，《苾拏儿歌》词皆是邪曲。后张易之小名苾拏。
01-032,01-朝野佥载卷一,中宗李显,景龙,中宗李显,景龙,era,【01-032】景龙年，安乐公主于洛州道光坊造安乐寺，用钱数百万。童谣曰：“可怜安乐寺，了了树头悬。”后诛逆韦，并杀安乐，斩首悬于竿上，改为悖逆庶人。
01-033,01-朝野佥载卷一,中宗李显,神龙,中宗李显,神龙,era,【01-033】神龙以后谣曰：“山南乌鹊窠，山北金骆驼。镰柯不凿孔，斧子不施柯。”此突厥强盛，百姓不得斫桑养蚕、种禾刈谷之应也。
01-034,01-朝野佥载卷一,中宗李显,景龙,中宗李显;睿宗李旦,景龙;景云,era,【01-034】景龙中谣曰：“可怜圣善寺，身着绿毛衣。牵来河里饮，踏杀鲤鱼儿。”至景云中，谯王从均州入都作乱，败走，投洛川而死。
01-035,01-朝野佥载卷一,睿宗李旦,景云,睿宗李旦,景云,era,【01-035】景云中谣曰：“一条麻线挽天枢，绝去也。”神武即位，敕令推倒天枢，收铜并入尚方。此其应兆。
01-036,01-朝野佥载卷一,中宗李显,景龙,中宗李显,景龙,era,【01-036】景龙中谣曰：“黄柏犊子挽纼断，两脚踏地鞋牖断。”六月，平王诛逆韦。挽纼断者，韦欲作乱。鞋牖断者，事不成。阿韦是“黄犊”之后也。
01-037,01-朝野佥载卷一,,,,,independent,【01-037】明堂主簿骆宾王《帝京篇》曰：“倏忽抟风生羽翼，须臾失浪委泥沙。”宾王后与敬业兴兵扬州，大败，投江而死。此其谶也。
01-038,01-朝野佥载卷一,高宗李治,麟德,高宗李治;武则天;懿宗李漼,麟德,era,【01-038】麟德已来，百姓饮酒唱歌，曲终而不尽者号为“族盐”。后阎知微从突厥领贼破赵、定。后知微来，则天大怒，磔于西市，命百官射之。河内王武懿宗去七步，射三发，皆不中，其怯懦也如此。知微身上箭如猬毛，剉其骨肉，夷其九族，疏亲及不相识者皆斩之。小儿年七八岁，驱抱向西市，百姓哀之，掷饼果与者，相争夺以为戏笑。监刑御史不忍害，奏舍之。其“族盐”之言，于斯应也。
01-039,01-朝野佥载卷一,,,,,independent,【01-039】赵公长孙无忌以乌羊毛为浑脱毡帽，天下慕之，其帽为“赵公浑脱”。后坐事长流岭南。浑脱之言，于是效焉。
01-040,01-朝野佥载卷一,,,,,independent,【01-040】魏王为巾子向前踣，天下欣欣慕之，名为“魏王踣”。后坐死。至孝和时，陆颂亦为巾子同此样，时人又名为“陆颂踣”。未一年而陆颂殒。
01-041,01-朝野佥载卷一,高宗李治,永徽,高宗李治;武则天,永徽,era,【01-041】永徽后，天下唱《武媚娘歌》，后立武氏为皇后。大帝崩，则天临朝，改号大周。二十余年，武后强盛，武三王梁、魏、定等并开府，自余郡王十余人，几迁鼎矣。
01-042,01-朝野佥载卷一,高宗李治,咸亨,高宗李治;武则天,咸亨,era,【01-042】咸亨以后，人皆云：“莫浪语，阿婆嗔，三叔闻时笑杀人。”后果则天即位，至孝和嗣之。阿婆者，则天也；三叔者，孝和为第三也。
01-043,01-朝野佥载卷一,,,,,independent,【01-043】魏仆射子名叔麟，谶者曰：“‘叔麟’，反语‘身戮’也。”后果被罗织而诛。
01-044,01-朝野佥载卷一,中宗李显,神龙,中宗李显,神龙,era,【01-044】梁王武三思，唐神龙初改封德靖王。谶者言：“'德靖'，'鼎贼'也。”果有窥鼎之志，被郑克等斩之。
01-045,01-朝野佥载卷一,武则天,,武则天,,emperor,【01-045】天后时，谣言曰：“张公吃酒李公醉。”张公者，斥易之兄弟也；李公者，言李氏大盛也。
01-046,01-朝野佥载卷一,,,,,independent,【01-046】孙佺为幽州都督，五月北征。时军师李处郁谏：“五月南方火，北方水，火入水必灭。”佺不从，果没八万人。昔窦建德救王世充于牛口谷，时谓窦入牛口，岂有还期。果被秦王所擒。其孙佺之北也，处郁曰：“飧若入咽，百无一全。”山东人谓温饭为飧音孙，幽州以北并为燕地，故云。
01-047,01-朝野佥载卷一,高宗李治,龙朔,高宗李治;武则天,龙朔;永昌,era,【01-047】龙朔年已来，百姓饮酒作令云：“子母相去离，连台拗倒。”子母者，盏与盘也；连台者，连盘拗倒盏也。及天后永昌中，罗织事起，有宿卫十余人于清化坊饮，为此令。此席人进状告之，十人皆弃市。自后庐陵徙均州，则子母相去离也；连台拗倒者，则天被废，诸武迁放之兆。
01-048,01-朝野佥载卷一,玄宗李隆基,,玄宗李隆基,,emperor,【01-048】神武皇帝七月即位，东都白马寺铁像头无故自落于殿门外。自后捉搦僧尼严急，令拜父母等，未成者并停革，后出者科决，还俗者十八九焉。
01-049,01-朝野佥载卷一,玄宗李隆基,开元,玄宗李隆基,开元,era,【01-049】开元五年春，司天奏：“玄象有售见，其灾甚重。”玄宗震惊，问曰：“何祥？”对曰：“当有名士三十人同日冤死。今新及第进士正应其数。”其年及第李蒙者，贵主家婿。上不言其事，密戒主曰：“每有大游宴，汝爱婿可闭留其家。”主居昭国里，时大合乐，音曲远畅，曲江涨水，联舟数艘，进士毕集。蒙闻，乃逾垣奔走，群众惬望。才登舟，移就水中，画舸平沉，声妓、篙工不知纪极，三十进士无一生者。
01-050,01-朝野佥载卷一,,,,,independent,【01-050】夏侯处信为荆州长史，有宾过之，处信命仆作食。仆附耳语曰：“溲几许面？”信曰：“两人二升即可矣。”仆入，久不出，宾以事告去。信遽呼仆，仆曰：“已溲讫。”信鸣指曰：“大异事。”良久乃曰：“可总燔作饼，吾公退食之。”信又尝以一小瓶贮醯一升自食，家人不沾余沥。仆云：“醋尽。”信取瓶合于掌上，余数滴，因以口吸之。凡市易，必经手乃授直。识者鄙之。
01-051,01-朝野佥载卷一,,,,,independent,【01-051】广州录事参军柳庆独居一室，器用食物并致卧内。奴有私取盐一撮者，庆鞭之见血。
01-052,01-朝野佥载卷一,,,,,independent,【01-052】夏侯彪夏月食饮，生虫在下，未曾沥口。尝送客出门，奴盗食脔肉。彪还觉之，大怒，乃捉蝇与食，令呕出之。
01-053,01-朝野佥载卷一,,,,,independent,【01-053】郑仁凯为密州刺史，有小奴告以履穿，凯曰：“阿翁为汝经营鞋。”有顷，门夫着鞋者至。凯厅前树上有鸳窠（鸳，啄木也），遣门夫上树取其子。门夫脱鞋而缘之。凯令奴着鞋而去，门夫竟至徒跣。凯有德色。
01-054,01-朝野佥载卷一,,,,,independent,【01-054】安南都护邓祐，韶州人，家巨富，奴婢千人。恒课口腹自供，未曾设客。孙子将一鸭私用，祐以擅破家资，鞭二十。
01-055,01-朝野佥载卷一,,,,,independent,【01-055】韦庄颇读书，数米而炊，秤薪而爨，炙少一脔而觉之。一子八岁而卒，妻敛以时服。庄剥取，以故席裹尸，殡讫，擎其席而归。其忆念也，呜咽不自胜，惟悭吝耳。
