source,paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,level4_animal,level4_animals_all,text
朝野佥载,01-002,01-朝野佥载卷一,卜筮占相,未系年,,命运寿夭;婚姻家庭,猪,猪,【01-002】周郎中裴珪妾赵氏，有美色，曾就张璟藏卜年命。藏曰：“夫人目长而漫视，准相书，猪视者淫。妇人目有四白，五夫守宅。夫人终以奸废，宜慎之。”赵笑而去。后果与合宫尉卢崇道奸，没入掖庭。
朝野佥载,01-003,01-朝野佥载卷一,卜筮占相,武则天,垂拱,官运仕途,凤,凤,【01-003】杜景佺，信都人也。本名元方，垂拱中，更为景佺。刚直严正。进士擢第，后为鸾台侍郎、平章事。时内史李昭德以刚直下狱，景佺廷诤其公清正直。则天怒，以为面欺，左授溱州刺史。初任溱州，会善筮者于路，言其当重入相，得三品，而不着紫袍。至是夏中服紫衫而终。
朝野佥载,01-007,01-朝野佥载卷一,鬼怪妖魅,武则天,,医疗;官运仕途,凤,凤,【01-007】则天时，凤阁侍郎周允元朝罢入阁。太平公主唤一医人自光政门入，见一鬼撮允元头，二鬼持棒随其后，直入景运门。医白公主，公主奏之。上令给使觇问，在阁无事。食讫还房，午后如厕。长参典怪其久私，往候之，允元踣面于厕上，目直视，不语，口中涎落。给使奏之，上问医曰：“此可得几时？”对曰：“缓者三日，急者一日。”上与锦被覆之，并床舁送宅，止夜半而卒。上自为诗以悼之。
朝野佥载,01-009,01-朝野佥载卷一,神仙佛道;死而复生,武则天,如意,医疗,马,马,【01-009】如意年中，洛州人赵玄景病卒五日而苏，云见一僧与一木长尺余，教曰：“人有病者，汝以此木拄之即愈。”玄景得见机上尺，乃是僧所与者，试将疗病，拄之立差，门庭每日数百人。御史马知己以其聚众，追之禁左台，病者满于台门。则天闻之，追入内，宫人病，拄之即愈，放出任救百姓病。数月以后，得钱七百余贯。后渐无验，遂绝。
朝野佥载,01-022,01-朝野佥载卷一,鬼怪妖魅;谶谣征应,中宗李显,景龙,官运仕途;政治征兆,龙,龙;狗,【01-022】景龙中，斜封得官者二百人，从屠贩而践高位。景云践祚，尚书宋璟、御史大夫毕构奏停斜封人官。璟、构出，后见鬼人彭君卿受斜封人贿赂，奏云见孝和，怒曰：“我与人官，何因夺却！”于是斜封皆复旧职。伪周革命之际，十道使人天下选残明经、进士及下村教童蒙博士，皆被搜扬，不曾试练，并与美职。尘黩士人之品，诱悦愚夫之心，庸才者得官以为荣，有才者得官以为辱。昔赵王伦之篡也，天下孝廉秀才茂异，并不简试，雷同与官，市道屠沽、亡命不轨，皆封侯略尽。太府之铜不供铸印，至有白版侯者。朝会之服，貂者大半，故谣云“貂不足，狗尾续”。小人多幸，君子耻之。无道之朝，一何连类也，惜哉！
朝野佥载,01-027,01-朝野佥载卷一,谶谣征应;冥报报应,高宗李治,龙朔,官运仕途;婚姻家庭;军事战争;风俗信仰,龙,龙,【01-027】龙朔以来，人唱歌名《突厥盐》。后周圣历年中，差阎知微和匈奴，授三品春官尚书，送武延秀往娶默啜女，送金银器物、锦彩衣裳以为礼聘，不可胜纪。突厥翻动，汉使并没，立知微为可汗，乃《突厥盐》之应。
朝野佥载,01-028,01-朝野佥载卷一,谶谣征应,高宗李治,调露,医疗;军事战争;风俗信仰,马,马,【01-028】调露中，大帝欲封中岳，属突厥叛而止。后又欲封，土番入寇，遂停。至永淳年，又驾幸嵩岳，谣曰：“嵩山凡几层，不畏登不得，只畏不得登。三度征兵马，傍道打腾腾。”岳下遘疾，不愈，回至宫而崩。
朝野佥载,01-029,01-朝野佥载卷一,谶谣征应,高宗李治,永淳,官运仕途;风俗信仰,马,马;骆驼,【01-029】永淳之后，天下皆唱“杨柳，杨柳，漫头驼”。后徐敬业犯事，出柳州司马，遂作伪敕，自授扬州司马，杀长史陈敬之，据江、淮反。使李孝逸讨之，斩业首，驿马驼入洛。“杨柳，杨柳，漫头驼”，此其应也。
朝野佥载,01-032,01-朝野佥载卷一,谶谣征应,中宗李显,景龙,风俗信仰,龙,龙,【01-032】景龙年，安乐公主于洛州道光坊造安乐寺，用钱数百万。童谣曰：“可怜安乐寺，了了树头悬。”后诛逆韦，并杀安乐，斩首悬于竿上，改为悖逆庶人。
朝野佥载,01-033,01-朝野佥载卷一,谶谣征应,中宗李显,神龙,军事战争;风俗信仰,龙,龙;蚕;骆驼,【01-033】神龙以后谣曰：“山南乌鹊窠，山北金骆驼。镰柯不凿孔，斧子不施柯。”此突厥强盛，百姓不得斫桑养蚕、种禾刈谷之应也。
朝野佥载,01-034,01-朝野佥载卷一,谶谣征应,中宗李显,景龙,军事战争;风俗信仰,龙,龙;鱼,【01-034】景龙中谣曰：“可怜圣善寺，身着绿毛衣。牵来河里饮，踏杀鲤鱼儿。”至景云中，谯王从均州入都作乱，败走，投洛川而死。
朝野佥载,01-036,01-朝野佥载卷一,谶谣征应,中宗李显,景龙,军事战争;风俗信仰,龙,龙,【01-036】景龙中谣曰：“黄柏犊子挽纼断，两脚踏地鞋牖断。”六月，平王诛逆韦。挽纼断者，韦欲作乱。鞋牖断者，事不成。阿韦是“黄犊”之后也。
