paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,text
01-020,01-独异志卷上,神仙佛道,未系年,,未明,【01-020】唐初僧玄奘至西域取经，入维摩诘方丈室。及归，将书年月于壁，染翰欲书，约行数千百步，终不及墙。
01-023,01-独异志卷上,神梦感应,未系年,,未明,【01-023】贾弼之夜梦一人，面貌极齄丑。谓弼之曰：“思以易之可乎？”梦中微有所诺，及觉，临镜大惊，一如梦中见者。左右家人见之，皆奔走。其所异者，两手各执一笔，书之于纸，俱有理例，徐说之亲戚，然后乃信。
01-029,01-独异志卷上,神仙佛道,未系年,,医疗;婚姻家庭,【01-029】羿烧仙药，药成，其妻姮娥窃而食之，遂奔入月中。
01-032,01-独异志卷上,死而复生,中宗李显,,医疗;政治征兆,【01-032】天后朝，工人安金藏保中宗不反，乃自持刀开腹明之，五脏坠地。后遣医工复内入腹，以桑皮细针缝合，经夕复生。玄宗即位，追封代国公。
01-040,01-独异志卷上,卜筮占相,未系年,,未明,【01-040】陶侃，有相者视其手策文上指，谓曰：“策文到指上为三公，贵不可说。”侃以针刺之通指，因血出，洒墙为公字。
01-042,01-独异志卷上,灵异神异,未系年,,未明,【01-042】《神异经》有李子昂，长七寸，日行千里，一旦被海鹄所吞，居鹄腹中，三年不死。
01-044,01-独异志卷上,鬼怪妖魅;神梦感应,未系年,,婚姻家庭;禳灾祈福,【01-044】张少平妻田氏，少平卒后，累年寡居。忽梦一人自天而下，压其腹，因而怀孕。乃曰：“无夫而孕，人闻弃我也。”徙于代，依东方，五月朔旦生一子，以其居代东方，名之东方朔。或言岁星精，多能，无不该博。
01-050,01-独异志卷上,死而复生,未系年,,婚姻家庭,【01-050】后周有一人姓陈氏，二十而娶妻，妻亦齐年。至四十，儿女又各生孙，孙复生子，子复生孙，相承百年内，其子孙盈数百人。老少悉为炀帝征辽所杀。
01-055,01-独异志卷上,鬼怪妖魅;神仙佛道,未系年,,未明,【01-055】蜀人杨行廉精巧，尝刻木为僧，于益州市引手乞钱，钱满五十于手，则自倾写下瓶口。
01-061,01-独异志卷上,冥报报应,未系年,,报应惩恶,【01-061】《燉煌实录》云：王樊卒，有盗开冢，见王樊与人樗蒲，以酒赐盗，惶怖饮之，见有人牵铜马出冢者。夜有神至城门，自言是王樊使，今有人发冢，以酒墨其唇，但至，可以验而擒之。盗既入城，城门者乃缚诘之，如神言。
01-066,01-独异志卷上,谶谣征应,玄宗李隆基,开元,官运仕途;报应惩恶,【01-066】唐开元五年春，司天密奏云：“玄象有谪见，其灾甚重。”玄宗大惊，问曰：“何祥？”对曰：“当有名士三十八人同日冤死。今新进及第进士，正应其数。内一人李蒙者，贵主家婿。”上不得已言其事，密戒主曰：“每有大游宴，汝爱婿可闭留其家。”主居昭国里，时大合乐，音曲远畅，曲江涨水，联舟数十艘，进士毕集。蒙闻之，乃逾垣走赴。群众惬望。方登舟，移就池中，暴风忽起，画舸半沉，声伎持篙楫，不知纪极，三十八人无一生者。
01-067,01-独异志卷上,卜筮占相,宪宗李纯,,医疗;官运仕途;军事战争,【01-067】唐刘辟初登第，诣卜者葫芦生筮得一卦，以定官禄。葫芦生双瞽，卦成，谓辟曰：“自此二十年，禄在西南，不得善终。”辟留束素与之。其后脱褐，从韦令公于西川，官至御史大夫，为行军司马。既二十年，韦病薨，使辟入奏，请益东川，诏未允。辟乃微服单骑，复诣葫芦生筮之，揲蓍成卦，谓辟曰：“吾二十年前，常与一人曾卜，得无妄之随。今复得此卦，非曩昔贤乎？”辟即依阿唯诺。葫芦生曰：“若审其人，祸将至矣！”辟不甚信，乃归蜀，果叛。宪宗皇帝擒之，戮于藁街。
