source,paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,level4_animal,level4_animals_all,text
独异志,01-061,01-独异志卷上,冥报报应,未系年,,报应惩恶,马,马,【01-061】《燉煌实录》云：王樊卒，有盗开冢，见王樊与人樗蒲，以酒赐盗，惶怖饮之，见有人牵铜马出冢者。夜有神至城门，自言是王樊使，今有人发冢，以酒墨其唇，但至，可以验而擒之。盗既入城，城门者乃缚诘之，如神言。
独异志,01-066,01-独异志卷上,谶谣征应,玄宗李隆基,开元,官运仕途;报应惩恶,象,象,【01-066】唐开元五年春，司天密奏云：“玄象有谪见，其灾甚重。”玄宗大惊，问曰：“何祥？”对曰：“当有名士三十八人同日冤死。今新进及第进士，正应其数。内一人李蒙者，贵主家婿。”上不得已言其事，密戒主曰：“每有大游宴，汝爱婿可闭留其家。”主居昭国里，时大合乐，音曲远畅，曲江涨水，联舟数十艘，进士毕集。蒙闻之，乃逾垣走赴。群众惬望。方登舟，移就池中，暴风忽起，画舸半沉，声伎持篙楫，不知纪极，三十八人无一生者。
独异志,01-070,01-独异志卷上,神仙佛道;巫术厌胜,武则天,,官运仕途;禳灾祈福,龙,龙,【01-070】唐天后朝，处士孙思邈居于嵩山修道。时大旱，有敕选洛阳德行僧徒数千百人，于天宫寺讲《人王经》，以祈雨泽。有二人在众中，须眉皓白，讲僧昙林遣人谓二老人曰：“罢后可一过院。”既至，问其所来，二老人曰：“某伊、洛二水龙也，闻至言当得改化。”林曰：“讲经祈雨，二圣知之乎？”答曰：“安得不知，然雨者须天符乃能致之。居常何敢自施也。”林曰：“为之奈何？”
独异志,01-073,01-独异志卷上,鬼怪妖魅,未系年,,未明,虎,虎,【01-073】挚虞《要注》云：晋武帝时，有彭权为侍中。帝问髦头义，权答曰：秦时有奇怪，触山截水，无不崩溃，惟畏髦头。”帝乃令虎贲之士戴之，以卫左右。
独异志,01-077,01-独异志卷上,神仙佛道,未系年,,未明,龙,龙,【01-077】梁张僧繇善画，为吴兴太守，武帝每思诸王在外藩者，即令僧繇乘传往写其貌，如对其面。尝于江陵天皇寺画佛并仲尼及十哲，帝曰：“释门之内画此，何也？”对曰：“异日赖之。”至后周，焚灭佛教，以此殿有儒圣，独不焚之。又于金陵安乐寺画四龙，不点睛。人问之，答曰：“点则飞去。”众人以为虚诞，固请点之。顷刻，雷霆，二龙乘云腾上，其二不点者犹在。画之通神若此。
独异志,01-100,01-独异志卷上,鬼怪妖魅;冥报报应,未系年,,报应惩恶,马,马,【01-100】唐韩幹善画马，闲居之际，忽有一人玄冠朱衣而至。幹问曰：“何缘及此？”对曰：“我鬼使也。闻君善画良马，愿赐一匹。”幹立画焚之。数日因出，有人揖而谢曰：“蒙君惠骏足，免为山水跋涉之苦，亦有以酬效。”明日有人送素缣百匹，不知其来，幹收而用之。
独异志,01-123,01-独异志卷上,神仙佛道;神梦感应,未系年,,官运仕途;禳灾祈福,马,马,【01-123】禹伤其父功不成，乃南逃衡山，斩马以祭之，仰天而啸。忽梦神人，自称玄夷苍水使者，谓禹曰：“欲得我书者斋焉。”禹遂斋三日，乃降金简玉字之书，得治水之要。
独异志,01-129,01-独异志卷上,神仙佛道,未系年,,未明,鸟,鸟,【01-129】梁武帝酷好佛法，然性多含恕，敕天下贡献绫罗锦绮，不令织鸟兽之形，恐裁剪之时，有伤生物之意也。
独异志,01-133,01-独异志卷上,卜筮占相,未系年,,未明,牛,牛,【01-133】汉武帝自回中郡绕一山曲，见一物盘地，状若牛，推之不去，击之不散。问左右，无能知者。东方朔进曰：“请以酒一斛浇之。”帝命酒浇之，立散。复问，朔曰：“此必秦之故狱，积其怨气所致。酒能消愁耳。”帝抚朔曰：“人之多知，有如此者！”
独异志,01-147,01-独异志卷上,鬼怪妖魅,未系年,,未明,鱼,鱼,【01-147】陈胜以丹帛书“陈胜王”字置鱼腹中令卖，有市得者，烹食之，见而怪之，遂立胜为王。
独异志,02-010,02-独异志卷中,神梦感应,未系年,,未明,马,马,【02-010】《武陵记》曰：后汉马融勤学，梦见一林，花如绣锦，梦中摘此花食之。及寤，见天下文词，无所不知。时人号为“绣囊”。
独异志,02-017,02-独异志卷中,巫术厌胜,未系年,,巫蛊害人;禳灾祈福,鸟,鸟,【02-017】梁武帝太清三年，侯景反，围台城，远近不通。简文与太子大器为计，缚鸢飞空，告急于外。侯景谋臣谓景曰：“此必厌胜术，不然，即事达人。”令左右射之，及堕，皆化为禽鸟飞去，不知所在。
独异志,02-019,02-独异志卷中,鬼怪妖魅,未系年,,报应惩恶,象,象,【02-019】王充《论衡》云：汉李子长为政，欲知囚情，以桐木刻为囚象，凿地为坎，致木人拷讯之。若正罪，则木人不动；如冤枉，则木人摇其头。精感立政动神如此。
独异志,02-029,02-独异志卷中,冥报报应,未系年,,婚姻家庭,鱼,鱼,【02-029】《三峡录》云：明月峡中，二溪东西。宋顺帝昇明二年，峡人微生亮于溪中钓得一白鱼，长三尺，投置船中，以草覆之。及归，取烹之，见一美女草下，洁白端丽，年可十六七，自称唐高之女，偶化鱼游，为君所得。亮曰：“既为人，能为妻否？”女曰：“冥契使然，何为不得？”其后三年为亮妻，女曰：“数已足矣。请归高唐。”亮曰：“何时复来？”答曰：“情不可忘，有思即复至。”其后一岁三四往。不知所终。
独异志,02-056,02-独异志卷中,鬼怪妖魅,未系年,,未明,鸟,鸟,【02-056】汉武帝元封中，浮圻国贡兰金之泥。其金生于汤泉，盛夏之日，波浪常沸，飞鸟不敢过，居人不敢渡。国人于水边见有此泥，取为器物，色若紫磨金，其滑者如泥。贡于汉，帝取之，常封函匣，以辟邪魅。卫青、张骞，皆蒙此泥封玺绶。帝既崩，紫泥遂绝。
独异志,02-059,02-独异志卷中,谶谣征应,未系年,,未明,蛇,蛇,【02-059】晋文公时，有蛇当道而横，文公以为不祥，反政修德，令吏守蛇。守吏夜梦有人杀蛇，曰：“何以当圣人道！”觉而见蛇已坏矣。
独异志,02-060,02-独异志卷中,鬼怪妖魅,未系年,,未明,蛇,蛇,【02-060】《庄子》云：齐桓公出游于泽，泽畔见一物，其大如毂，其长如辕，紫衣而朱冠，见人则捧其首。公谓管仲曰：“此其怪乎？”仲曰：“此委蛇也，见者必霸。”公后果霸其国，为五霸之首。
独异志,02-063,02-独异志卷中,死而复生,未系年,,未明,雉,雉;鸟,【02-063】后汉裴安祖常息大树下，有鸷鸟逐一雄雉，雉急投安祖，忽触树而死。安祖哀之，置于荫地，俄顷复生，乃飞去。因寝见一人，衣冠甚伟，拜谢安祖曰：“荷君保全，故此伸谢。”安祖年八十而卒。
独异志,02-067,02-独异志卷中,鬼怪妖魅,未系年,,未明,虎,虎;蛇,【02-067】伪蜀李势宫人张氏，有妖容，势宠之。一旦化为大斑蛇，长丈余。送于苑中，夜复来寝床下。势惧，遂杀之。后有郑美人，势亦宠爱，化为雌虎，一夕食势姬三人。未几，势为桓温所杀。
独异志,02-068,02-独异志卷中,鬼怪妖魅;冥报报应,玄宗李隆基,开元,未明,马,马,【02-068】吴道子善画神，开元中，将军裴旻居母丧，诣道子于东都天宫寺图神鬼数壁，以资冥助。答曰：“废画已久，若将军有意为吾缠结，舞剑一曲，庶因猛励，获通幽冥。”旻于是脱去衰服，若常时妆饰，走马如飞，左旋右抽，掷剑入云，高数十丈，若电光下射，旻引手执鞘承之，剑透空而下。观者数千人，无不悚栗。道子于是援毫图壁，俄顷之际，魔魅化出，飒然风起，为天下之壮观。道子平生所画，得意无出于是。
独异志,02-121,02-独异志卷中,鬼怪妖魅,未系年,,官运仕途;婚姻家庭,鸟,鸟,【02-121】隋刘君良累代义居，兄弟四人同气。大业末，天下饥馑，其妻欲劝分居，乃窃取庭树中鸟雏，置诸窠中，令群鸟斗竞，举家怪之。其妻曰：“今天下大乱，战争之秋，禽鸟尚不相容，况人乎？”君良知其计，中夜遂搅妻发大呼曰：“此乃破家贼！”召诸兄弟，哭以告之，而弃其妻。居虽三院而共一厨。
独异志,02-133,02-独异志卷中,谶谣征应,未系年,,军事战争,牛,牛,【02-133】苻坚委政于王猛，小大无疑。猛卒，其子皮谋反，坚让曰：“丞相临终，以十具牛为田，不闻与子求位。知子莫若父，何斯言之验也！”赦而不诛。
独异志,03-036,03-独异志卷下,鬼怪妖魅;神仙佛道;死而复生,玄宗李隆基,,未明,蝙蝠,蝙蝠,【03-036】玄宗朝有张果老先生者，不知岁数。出于邢州，帝迎于内，礼敬甚，问无不知者。一旦有道士叶静能，亦多知解。玄宗问：“果老何人？”静能答曰：“臣即知之。然臣言讫即死，臣不敢言。若陛下免冠跣足救臣，臣即能活。”帝许之。静能曰：“此混沌初分白蝙蝠精。”言讫，七窍血流，偃仆于地。玄宗遽往，果老徐曰：“此小儿多口过，不谪之，败天地间事耳。”帝哀恳久之，果老以水噀其面，复生。其后果老辞归邢州所隐之处，俄然不知所往。
独异志,03-040,03-独异志卷下,灵异神异,未系年,,未明,兔,兔,【03-040】《神异记》注曰：西南大荒中有兽，形如兔，人面而能言。心常欺人，言东即西，言南即北，其名曰诡。
独异志,03-098,03-独异志卷下,巫术厌胜,未系年,,婚姻家庭,象,象,【03-098】昔宇宙初开之时，只有女娲兄妹二人在昆仑山，而天下未有人民。议以为夫妻，又自羞耻，兄即与其妹上昆仑山，咒曰：“天若遣我兄妹二人为夫妻而烟悉合，若不使烟散。”于是烟即合，其妹即来就兄，乃结草为扇以障其面。今时人取妇执扇，象其事也。
