source,paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,level4_animal,level4_animals_all,text
玄怪录,01-005,01-玄怪录卷一,鬼怪妖魅;冥报报应,未系年,,医疗;风俗信仰,龙,龙;凤;虎;鹤,【01-005】老人者方啸于二桧之阴，遂与登华山云台峰。入四十里余，见一居处，室屋严洁，非常人居。彩云遥覆，鸾鹤飞翔。其上有正堂，中有药炉，高九尺余，紫焰光发，灼焕窗户。玉女九人，环炉而立；青龙白虎，分据前后。其时日将暮，老人者不复俗衣，乃黄冠绛帔士也。持白石三丸，酒一卮，遗子春，令速食之讫。取一虎皮铺于内西壁，东向而坐，戒曰：“慎勿语，虽尊神、恶鬼、夜叉、猛兽、地狱，及君之亲属为所囚缚，万苦皆非真实，但当不动不语耳。安心莫惧，终无所苦。当一心念吾所言。”言讫而去。子春视庭，唯一巨瓮，满中贮水而已。
玄怪录,01-006,01-玄怪录卷一,神仙佛道,未系年,,未明,龙,龙;虎;蛇;马,【01-006】道士适去，而旌旗戈甲，千乘万骑，遍满崖谷，呵叱之声动天。有一人称大将军，身长丈余，人马皆着金甲，光芒射人。亲卫数百人，拔剑张弓，直入堂前，呵曰：“汝是何人，敢不避大将军！”左右竦剑而前，逼问姓名，又问作何物，皆不对。问者大怒，催斩，争射之，声如雷。竟不应。将军者勃怒而去。俄而猛虎、毒龙、狻猊、狮子、蝮蛇万计，哮吼拿攫而争前，欲搏噬，或跳过其上。子春神色不动。有顷而散。
玄怪录,01-007,01-玄怪录卷一,鬼怪妖魅;巫术厌胜,未系年,,医疗;官运仕途;婚姻家庭;巫蛊害人,牛,牛,【01-007】既而大雨滂澍，雷电晦暝。火轮走其左右，电光掣其前后，目不得开。须臾，庭际水深丈余，流电吼雷，势若山川开破，不可制止。瞬息之间，波及坐下。子春端坐不顾。未顷而散。将军者复来，引牛头狱卒，奇貌鬼神，将大镬汤而置子春前。长枪刃叉，四面周匝。传命曰：“肯言姓名，即放。不肯言，即当心叉取置之镬中。”又不应。因执其妻来，捽于阶下，指曰：“言姓名免之。”又不应。乃鞭捶流血，或射或斫，或煮或烧，苦不可忍。其妻号哭曰：“诚为陋拙，有辱君子。然幸得执巾栉，奉事十余年矣。今为尊鬼所执，不胜其苦。不敢望君匍匐拜乞，望君一言，即全性命矣。人谁无情，君乃忍惜一言！”雨泪庭中，且咒且骂。子春终不顾。将军曰：“吾不能毒汝妻耶？”令取剉碓，从脚寸寸剉之。妻叫哭愈急，竟不顾之。将军曰：“此贼妖术已成，不可使久在世间。”敕左右斩之。
玄怪录,01-009,01-玄怪录卷一,神仙佛道,未系年,,官运仕途;婚姻家庭,雉,雉,【01-009】俄而长大，容色绝代，而口无声，其家目为哑女。亲戚相狎，侮之万端，终不能对。同乡有进士卢珪者，闻其容而慕之，因媒氏求焉。其家以哑辞之，卢曰：“苟为妻而贤，何用言矣，亦足以戒长舌之妇。”乃许之，卢生备礼亲迎为妻。数年，恩情甚笃。生一男，仅二岁，聪慧无敌。卢抱儿与之言，不应，多方引之，终无辞。卢大怒曰：“昔贾大夫之妻鄙其夫，才不笑尔，然观其射雉，尚释其憾。今吾陋不及贾，而文艺非徒射雉也，而竟不言。大丈夫为妻所鄙，安用其子！”乃持两足，以头扑于石上，应手而碎，血溅数步。子春爱生于心，忽忘其约，不觉失声云：“噫！”噫声未息，身坐故处，道士者亦在其前，初五更矣。
玄怪录,01-016,01-玄怪录卷一,神仙佛道,未系年,,医疗;婚姻家庭;风俗信仰,凤,凤;鹤,【01-016】明日方晓，张老与韦生坐。忽有一青衣附耳而语，张老笑曰：“宅中有客，安得暮归。”因曰：“小妹暂欲游蓬莱山，贤妹亦当去，然未暮即归。兄但憩此。”张老揖而入。俄而五云起于中庭，鸾凤飞翔，丝竹并作。张老及妹，各乘一凤，余从乘鹤者数十人，渐上空中，正东而去。望之已没，隐隐有音乐之声。韦君在后，小青衣供侍甚谨。迨暮，稍闻笙簧之音，倏忽复到，乃下于庭。张老与妻见韦曰：“独居太寂寞，然此地神仙之府，非俗人得游，以兄宿命合得到此，然亦不可久居，明日当奉别耳。”及时，妹复出别兄，殷勤传语父母而已。张老曰：“人世遐远，不及作书。”奉金二十镒，并与一故席帽，曰：“兄若无钱，可于扬州北邸卖药王老家取一千万贯，持此为信。”遂别。复令昆仑奴送出，却到天坛，昆仑奴拜别而去。
玄怪录,01-020,01-玄怪录卷一,神仙佛道,太宗李世民,贞观,医疗;命运寿夭;禳灾祈福,龙,龙;凤;鹿;鹤,【01-020】裴谌、王敬伯、梁芳约为方外之友。隋大业中，相与入白鹿山学道，谓黄白可成，不死之药可致，云飞羽化，无非积学。辛勤采炼，手足胼胝，十数年间。无何，梁芳死。敬伯谓谌曰：“吾所以去国忘家，耳绝丝竹，口厌肥豢，目弃奇色，去华屋而乐茅斋，贱欢娱而贵寂寞者，岂非觊乘云驾鹤，游戏蓬壶？纵其不成，亦望长生，寿毕天地耳。今仙海无涯，长生未致，辛勤于云山之外，不免就死。敬伯所乐，将下山乘肥衣轻，听歌玩色，游于京洛。意足然后求达，建功立事，以荣耀人寰。纵不能憩三山，饮瑶池，骖龙衣霞，歌鸾舞凤，与仙翁为侣，且腰金拖紫，图影凌烟，厕卿大夫之间，何如哉！子盍归乎？无空死深山。”谌曰：“吾乃梦醒者，不复低迷。”敬伯遂归，谌留之不得。时唐贞观初。
玄怪录,01-025,01-玄怪录卷一,神仙佛道,未系年,,未明,虎,虎;蝉;雉;雀,【01-025】吁！神仙之变化，诚如此乎！将幻者鬻术以致惑乎？固非常智之所及。且夫雀为蛤，雉为蜃，人为虎，腐草为萤，蜣螂为蝉，鲲为鹏，万物之变化，书传之记者，不可以智达，况耳目之外乎！
玄怪录,01-032,01-玄怪录卷一,鬼怪妖魅,玄宗李隆基,开元,官运仕途;婚姻家庭;报应惩恶;禳灾祈福,马,马,【01-032】代国公郭元振，开元中下第。自晋之汾，夜行阴晦失道，久而绝远有灯火之光，以为人居也，径往投之。八九里，有宅，门宇甚峻。既入门，廊下及堂下，灯烛辉煌，牢馔罗列，若嫁女之家，而悄无人。公系马西廊前，历阶而升，徘徊堂上，不知其何处也。俄闻堂中东阁有女子哭声，呜咽不已。公问曰：“堂中泣者，人耶，鬼耶？何陈设如此，无人而独泣？”曰：“妾此乡之祠有乌将军者，能祸福人。每岁求偶于乡人，乡人必择处女之美者而嫁焉。妾虽陋拙，父利乡人之五百缗，潜以应选。今夕，乡人之女并为游宴者，到是，醉妾此室，共锁而去，以适于将军者也。今父母弃之就死，而令惴惴哀惧。君诚人耶，能相救免，毕身为扫除之妇，以奉指使。”公愤曰：“其来当何时？”曰：“二更。”公曰：“吾忝为大丈夫也，必力救之。如不得，当杀身以徇汝，终不使汝枉死于淫鬼之手也。”女泣少止。于是坐于西阶上，移其马于堂北，令一仆侍立于前，若为宾而待之。
玄怪录,01-033,01-玄怪录卷一,鬼怪妖魅,未系年,,官运仕途;婚姻家庭,马,马;猪;鹿,【01-033】未几，火光照耀，车马骈阗，二紫衣吏入而复出，曰：“相公在此。”逡巡，二黄衣吏入而出，亦曰：“相公在此。”公私心独喜：“吾当为宰相，必胜此鬼矣。”既而将军渐下，导吏复告之。将军曰：“入。”有戈剑弓矢，翼引以入，即东阶下。公使仆前曰：“郭秀才见。”遂行揖。将军曰：“秀才安得到此？”曰：“闻将军今夕嘉礼，愿为小相耳。”将军者喜而延坐，与对食，言笑极欢。公于囊中有利刀，思取刺之，乃问曰：“将军曾食鹿腊乎？”曰：“此地难遇。”公曰：“某有少许珍者，得自御厨，愿削以献。”将军者大悦。公乃起，取鹿腊并小刀，因削之，置一小器。令自取。将军喜，引手取之，不疑其他。公伺其无机，乃投其脯，捉其腕而断之。将军失声而走。导从之吏，一时惊散。公执其手，脱衣缠之，令仆夫出望之，寂无所见。乃启门谓泣者曰：“将军之腕，已在于此矣。寻其血踪，死亦不久。汝既获免，可出就食。”泣者乃出，年可十七八，而甚佳丽，拜于公前曰：“誓为仆妾。”公勉谕焉。天方曙，开视其手，则猪蹄也。
玄怪录,01-034,01-玄怪录卷一,鬼怪妖魅,未系年,,医疗;官运仕途;婚姻家庭;禳灾祈福,猪,猪,【01-034】俄闻哭泣之声渐近，乃女之父母兄弟及乡中耆老，相与异榇而来，将收其尸，以备殡殓。见公及女，乃生人也。咸惊以问之，公具告焉。乡老共怒公残其神，曰：“乌将军此乡镇神，乡人奉之久矣，岁配以女，才无他虞。此礼少迟，即风雨雷雹为虐。奈何失路之客，而伤我明神？致暴于人，此乡何负！当杀公以祭乌将军，不尔，亦缚送本县。”挥少年将令执公。公谕之曰：“尔徒老于年，未老于事。我天下之达理者，尔众听吾言。夫神，承天而为镇也，不若诸侯受命于天子而疆理天下乎？”曰：“然。”公曰：“使诸侯渔色于国中，天子不怒乎？残虐于人，天子不伐乎？诚使尔呼将军者，真神明也，神固无猪蹄，天岂使淫妖之兽乎？且淫妖之兽，天地之罪畜也，吾执正以诛之，岂不可乎？尔曹无正人，使尔少女年年横死于妖畜，积罪动天。安知天不使吾雪焉？从吾言，当为尔除之，永无聘礼之患，如何？”乡人悟而喜曰：“愿从公命。”
