source,paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,level4_animal,level4_animals_all,text
纂异记,01-007,01-嵩岳嫁女,神仙佛道,未系年,,未明,鹤,鹤,【01-007】俄有一人驾鹤而来。王母曰：“久望刘君矣。”刘君笑曰：“适缘莲花峰道士奏章事，须决遣。尚多未来客，何言‘久望’乎？”王母曰：“奏章事者有何所为？”曰：“论浮梁县令求延年矣，以其人因贿赂履官途，以苛虐为官政。生情于案牍，忠恕之道蔑闻；唯锥于货财，巧伪之计更作。自贻覆馀，以促余龄。但以莲花峰叟徇从于人，奏章甚恳，特纡死限，量延五年。”璆问：“刘君谁？”曰：“汉朝天子。”
纂异记,01-008,01-嵩岳嫁女,鬼怪妖魅,未系年,,医疗;官运仕途,龙,龙;蚁;狼,【01-008】续有一人，驾黄龙，戴黄旂，导以笙歌，从以嫔嫡，及瑶幄而下。王母复问曰：“李君来何迟？”曰：“为敕龙神设水旱之计，作沵淮、蔡，以歼妖逆。”汉主曰：“奈百姓何？”曰：“上帝亦有此问，予一表断其惑矣。”曰：“可得闻乎？”曰：“不能悉记，略举大纲耳。其表云：‘某孙某，克构丕基，德洽兆庶。临履深薄，匪敢怠荒。不劳师车，平中夏、西蜀之孽；不费天府，扫东吴、上党之妖。九有已见其廓清，一方尚屯其氛祲。伏以虺蜴肆毒，痛于淮、蔡。豺狼尚惜其口喙，蝼蚁犹固其封疆。若遣时丰人安，是稔群丑；但使年饥疠作，必摇人心。如此倒戈而攻，可以席卷。祸三州之逆党，所损至微；安六合之疾甿，其利则厚。伏请神龙施水，疠鬼行灾，由此天诛，以资战力。’”汉主曰：“表至嘉。第既允许，可以前贺诛锄矣。”书生谓璆、韶：“此开元、天宝太平之主也。”
纂异记,01-028,01-嵩岳嫁女,神仙佛道,未系年,,未明,鹿,鹿,【01-028】月照骊山露泣花，似悲仙帝早升遐。至今犹有长生鹿，时绕温泉望翠华。
纂异记,01-035,01-嵩岳嫁女,卜筮占相;神仙佛道,未系年,,未明,龙,龙;凤;鹤,【01-035】歌竟，帝凄惨良久，诸仙亦惨然。于是黄龙持杯，立于车前，再拜祝曰：“上清神女，玉京仙郎。乐此今夕，和鸣凤凰。凤凰和鸣，将翱将翔。与天齐休，庆流无央。”仙郎即以鲛绡五千匹，海人文锦三千端，琉璃琥珀器一百床，明月骊珠各十斛，赠奏乐仙女。乃有四鹤立于车前，载仙郎并相者、侍者，兼有宝花台。俄进法膳，凡数十味，亦沾及璆、韶，璆、韶饫饱。有仙女捧玉箱，托红笺笔砚而至，请催妆诗。于是刘纲诗曰：
纂异记,02-001,02-陈季卿,神仙佛道,未系年,,医疗;官运仕途,龙,龙,【02-001】陈季卿者，家于江南。辞家十年，举进士，志不能无成归，羁栖辇下，鬻书判给衣食。尝访僧于青龙寺，遇僧他适，因息于暖阁中，以待僧还。有终南山翁，亦伺僧归，方拥炉而坐。揖季卿就炉。坐久，谓季卿曰：“日已晡矣，得无馁乎？”季卿曰：“实饥矣。僧且不在，为之奈何？”翁乃于肘后解一小囊，出药方寸，止煎一杯，与季卿，曰：“粗可疗饥矣。”季卿啜讫，充然畅适，饥寒之苦，洗然而愈。
纂异记,02-021,02-陈季卿,神仙佛道,未系年,,未明,龙,龙,【02-021】一叶漾漾，遵旧途至于渭滨，乃赁乘，复游青龙寺。宛然见山翁拥褐而坐。季卿谢曰：“归则归矣，得非梦乎？”翁笑曰：“后六十日方自知。”而日将晚，僧尚不至，翁去，季卿还主人。
纂异记,03-004,03-刘景复,鬼怪妖魅;神仙佛道,玄宗李隆基,天宝,未明,狗,狗;猪,【03-004】四弦拢捻三四声，唤起边风驻寒月。大声漕漕奔淈淈，浪蹙波翻倒溟渤。小弦切切怨飔飔，鬼泣神悲低悉率。侧腕斜挑掣流电，当胸直戛腾秋鹘。汉妃徒得端正名，秦女虚夸有仙骨。我闻天宝年间事，凉州未作西戎窟。麻衣右衽皆汉民，不省胡尘暂蓬勃。太平之末狂胡乱，犬豕崩腾恣唐突。玄宗未到万里桥，东洛西京一时没。一朝汉民没为虏，饮恨吞声空咽嗢。时看汉月望汉天，怨气冲星成彗孛。国门之西八九镇，高城深垒闭闲卒。河湟咫尺不能收，挽粟推车徒矻矻。今朝闻奏凉州曲，使我心魂暗超忽。胜儿若向边塞弹，征人血泪应阑干。
纂异记,05-001,05-蒋琛,鬼怪妖魅,未系年,,医疗;官运仕途,龟,龟,【05-001】雪人蒋琛，精熟二经，常教授于乡里。每秋冬，于霄溪、太湖中流，设网罟以给食。尝获巨龟，以其质状殊异，乃顾而言曰：“虽入余且之网，俾免刳肠之患。既在四灵之列，得无愧于鄙叟乎？”乃释之。龟及中流，凡返顾六七。
纂异记,05-002,05-蒋琛,冥报报应,未系年,,未明,龟,龟,【05-002】后岁余，一夕风雨晦冥，闻波间汹汹声，则前之龟扣舷，人立而言曰：“今夕太湖、雪溪、松江神境会，川渎诸长，亦闻应召。开筵解榻，密迩渔舟。以足下淹滞此地，持网且久，纤鳞细介，苦于数网；脱祸之辈，常怀怨心。恐水族乘便，得肆胸臆。昔日恩遇，常贮悫诚。由斯而来，冀答万一。能退咫尺以远害乎？”琛曰：“诺。”遂于安流中，缆舟以伺焉。
纂异记,05-003,05-蒋琛,鬼怪妖魅,未系年,,未明,蛟,蛟;龟;鱼;马;雁;鼍,【05-003】未顷，有龟鼍鱼鳖，不可胜计，周匝二里余，蹙波为城，遏浪为地，辟三门，坦通衢。异怪千余，皆人质螭首，执戈戟，列行伍，守卫如有所待。续有蛟蜃数十，东西驰来，乃嘘气为楼台，为琼宫珠殿，为歌筵舞席，为座榻裀褥，顷刻毕备。其尊罍器皿，玩用之物，皆非人世所有。又有神鱼数百，吐火珠，引甲士百余辈，拥青衣黑冠者，由霅溪南津而出。复见水兽亦数百，冲跃，引铁骑二百余，拥朱衣赤冠者，自太湖中流而来。至城门，下马交拜。溪神曰：“一不展觌，五纪于兹。虽鱼雁不绝，而笑言久旷。勤企盛德，衷肠怒然。”湖神曰：“我心亦如之。”
