source,paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,level4_animal,level4_animals_all,text
续玄怪录,01-003,01-续玄怪录卷一,神仙佛道,未系年,,官运仕途,凤,凤;马;鹤,【01-003】至十八日夜五更，村人复闻云中仙乐之声、异香之芳从东来，复下王氏宅，作乐久之而去。王氏亦无闻者。及明来视，其门棘封如故。房中仿佛若有人声。遽走告，县令李邯亲率僧道官吏，共开其门，则新妇者宛在床矣。但觉面目光芒，有非常之色。邯问曰：“向何所去？今何所来？”对曰：“昨十五日夜初，有仙骑来曰：‘夫人当上仙，云鹤即到，宜静室以俟之。’遂求静室。至三更，有仙乐、彩仗、霓旌、绛节，鸾鹤纷纭，五云来降，入于房中。执节者前曰：‘夫人准籍合仙，仙师使者来迎，将会于西岳。’于是彩童二人，捧玉箱来献，箱中有奇服，非绮非罗，制若道人之衣；珍华香洁，不可名状。遂衣之。毕，乐作三阕，青衣引白鹤来，曰：‘宜乘此。’初尚惧其危，试乘之，稳不可言。飞起而五云捧出，彩仗、霓旌，次第前引，至于华山云台峰。峰上有盘石，已有四女先在彼焉。一人云姓马，宋州人；一人姓徐，幽州人；一人姓郭，荆州人；一人姓夏，青州人；皆其夜成仙，同会于此。旁一小仙曰：‘并舍虚幻，得证真仙。今当定名，宜有真字。’于是马曰信真，徐曰湛真，郭曰修真，夏曰守真。其时五云参差，遍覆崖谷，妙乐罗列，间作于前。五人相庆曰：‘同生浊界，并是凡身，一旦翛然，遂与尘隔。今夕何夕，欢会于斯，宜各赋诗，以道其意。’信真诗曰：
续玄怪录,01-019,01-续玄怪录卷一,神仙佛道,未系年,,婚姻家庭,凤,凤;鹤,【01-019】既而雕盘珍果，名不可知。妙乐铿锽，响动崖谷。俄而执节者请曰：‘宜往蓬莱谒大仙伯。’五真曰：‘大仙伯为谁？’曰：‘茅君也。’妓乐鸾鹤，复次第前引，东去，倏忽间已到蓬莱。其宫阙皆金银，花木楼殿，皆非人世之制作。大仙伯居金阙玉堂中，侍卫甚严。见五真喜曰：‘来何晚耶！’饮以玉杯，赐以金简、凤文之衣、玉华之冠，配居蓬莱华院。四人者出。敬真独前曰：‘王清父年高，无人侍养，请回侍其残年。王父去世，然后从命，诚不忍得乐而忘王父也。唯仙伯哀之。’仙伯曰：‘敬真！汝村一千年方出一仙人，汝当其会。无自坠其道。’因敕四真送至其家，故得还也。”
续玄怪录,01-023,01-续玄怪录卷一,神仙佛道,未系年,,未明,马,马;羊;猪,【01-023】行次阌乡，臻曰：“二君固明智之士，识臻何为者？”曰：“博文多艺，隐遁之客也。”曰：“非也。固不识，我乃阴吏之迎驾者。”曰：“天子上仙，可单使迎乎？”曰：“是何言欤？甲马五百，将军一人，臻乃军之籍吏耳。”曰：“其徒安在？”曰：“左右前后。今臻何所以奉白者，来日金天置宴，谋少酒肉奉遗。请华阴相待。”黄昏，臻乘马引仆，携羊豕各半、酒数斗来。曰：“此人间之物，幸无疑也。”言讫而去。其酒肉肥浓之极。过于华阴，聚散如初。宿灞上，臻曰：“此行乃人世不测者也。辛君能一观。”成公曰：“何独弃我？”曰：“神祇尚侮人之衰也，君命稍薄，故不可耳。非敢不均其分也。入城当舍于开化坊西门北壁上第二板门王家，可直造焉。辛君初五更立灞西古槐下。”
续玄怪录,01-024,01-续玄怪录卷一,鬼怪妖魅,未系年,,官运仕途;婚姻家庭,马,马,【01-024】及期，辛步往灞西，见旋风卷尘，迤逦而去。到古槐，立未定，忽有风来扑林，转盼间，一旗甲马立于其前。王臻者乘且牵，呼辛速登。既乘，观焉，前后戈甲塞路。臻引辛谒大将军。将军者丈余，貌甚伟，揖公平曰：“闻君有广钦之心，诚推此心于天下，鬼神者且不敢侮，况人乎？”谓臻曰：“君既召来，宜尽主人之分。”遂同行入通化门，及诸街铺，各有吏士迎拜。次天门街，有紫吏若供顿者，曰：“人多，并下不得，请逐近配分。”将军许之。于是分兵五处，独将军与亲卫馆于颜鲁公庙。既入坊，颜氏之先簪裾而来，若迎者，遂入舍。臻与公平止西廊幕次，肴馔馨香，味穷海陆，其有令公平食之者，有令不食者。臻曰：“阳司授官，皆禀阴命。臻感二君也，检选事，据籍诚当驳放，君仅得一官耳。臻求名加等，吏曹见许矣。”居数日，将军曰：“时限向尽，在于道场。万神护跸，无计奉迎，如何？”臻曰：“牒府请夜宴，宴时腥羶，众神自许即可矣。”遂行牒。牒去，逡巡得报，曰：“已敕备夜宴。”于是部管兵马，戌时齐进入光範及诸门，门吏皆立拜。
续玄怪录,01-025,01-续玄怪录卷一,鬼怪妖魅;神仙佛道,未系年,,官运仕途,龙,龙;凤;虎;马;豹,【01-025】宣政殿下，马兵三百，余人步，将军金甲仗钺来，立于所宴殿下，五十人从卒环殿，露兵，若备非常者。殿上歌舞方欢，俳优赞咏，灯烛荧煌，丝竹并作。俄而三更四点，有一人多髯而长，碧衫皂裤，以红为褾；又以紫縠画虹蜺为帔，结于两肩右腋之间，垂两端于背；冠皮冠，非虎非豹，饰以红罽，其状可畏。忽不知其所来，执金匕首，长尺余，拱于将军之前，延声曰：“时到矣！”将军频眉，揖之，唯而走，自西厢历阶而上，当御座后，跪以献上。既而左右纷纭。上头眩，音乐骤散，扶入西阁，久之未出。将军曰：“升云之期，难违顷刻，上既命驾，何不遂行。”对曰：“上澡身否？然，可即路。”遽闻具浴之声。三更，上御碧玉舆，青衣士六，衣上皆画龙凤，肩舁下殿。将军揖，“介胄之士无拜。”因慰问以：“人间纷挐，万机劳苦，淫声荡耳，妖色惑心，清真之怀，得复存否？”上曰：“心非金石，见之能无少乱？今已舍离，固亦释然。”将军笑之。遂步从环殿，引翼而出。自内阁及诸门吏，莫不呜咽。群辞，或抆血捧舆，不忍去者。过宣政殿，二百骑引，三百骑从，如风如雷，飒然东去，出望仙门。
续玄怪录,01-026,01-续玄怪录卷一,神仙佛道,宪宗李纯,元和,官运仕途,马,马,【01-026】将军乃敕臻送公平，遂勒马离队，不觉足已到一板门前。臻曰：“此开化王家宅，成君所止也。仙驭已远，不能从容。为臻多谢成君。”牵辔扬鞭，忽不复见。公平扣门一声，有人应者，果成君也。秘不敢泄。更数月，方有攀髯之泣。来年，公平授扬州江都县簿。士廉授兖州瑕丘县丞，皆如所言。元和初，李生畴昔宰彭城，而公平之子参徐州军事，得以详闻。故书其实以警道途之傲者。
续玄怪录,01-028,01-续玄怪录卷一,神仙佛道,未系年,,官运仕途;风俗信仰,马,马,【01-028】长庆元年秋，自魏博节度使、左仆射、平章事诏征还京师。将入洛，其衙门将石季武先在洛，梦凉公自北登天津桥，季武为导。以宰相行，呵叱动地。有道士八人，乘马，持绛节幡幢，从南欲上。导骑呵之，对曰：“我迎仙公，安知宰相？”招季武与语，季武骤马而前。持节道士曰：“可记我言，闻于相公。”其言曰：“耸辔排金阙，乘轩上汉槎。浮名何足恋，高举入烟霞。”季武原不识字，记性又少，及随道士言之，再闻已得。道士曰：“已记得，可先白相公。”乃惊觉，汗流被体。喜以为相国由当上仙，况俗官乎！后三日，凉公果自北登天津桥，季武为导，因入憩天宫寺，月余而薨。
续玄怪录,01-031,01-续玄怪录卷一,巫术厌胜,宣宗李忱,大中,医疗;官运仕途;命运寿夭;禳灾祈福,麟,麟,【01-031】麒麟客者，南阳张茂实家佣仆也。茂实家于华山下。大中初偶游洛中，假仆于南市，得一人焉。其名曰王复，年可四十余，佣作之直月五百。勤干无私，出于深诚，苟有可为，不待指使。茂实器之，易其名曰大历。将倍其直，固辞，其家益怜之。居五年，计酬直尽，一旦辞茂实曰：“复本居山，家业不薄，适与厄会，须佣作以禳之，固非无资而卖力者也。今厄尽矣，请从此辞。”茂实不测其言，不敢留，听之。曰：“今暮当去。”追暮，入白茂实曰：“感君恩宥，深欲奉报，复家去此甚近，其中景趣亦甚可观，能相逐一游乎？”茂实喜曰：“何幸！然不欲令家中知，潜一游，可乎？”复曰：“甚易。”于是截竹杖长数尺，其上书符，授茂实曰：“君杖此入室，称腹痛，左右人悉令取药；去后，潜置竹于衾中，抽身出来可也。”茂实从之。复喜曰：“君真可游吾居者也。”
续玄怪录,01-032,01-续玄怪录卷一,神仙佛道,未系年,,官运仕途,麟,麟;虎,【01-032】相与南行一里余，有黄头执青麒麟一，赤文虎二，俟于道左。茂实惊欲回，复曰：“无苦，但前行。”既到前，复乘麒麟，茂实与黄头各乘一虎。茂实惧不敢近，复曰：“相随，请不复畏。且此物，人间之极俊者，但试乘之。”遂凭而上，稳不可言。于是从之上仙掌峰。越壑凌山，举意而过，殊不觉峻险。如到三更，计数百里矣。
续玄怪录,01-033,01-续玄怪录卷一,神仙佛道,未系年,,官运仕途;命运寿夭;婚姻家庭;风俗信仰,凤,凤;麟;象,【01-033】下一山，物象鲜媚，松石可爱，楼台宫观，非世间所有。将及门，引者揖曰：“阿郎来。”紫衣吏数百人罗拜道侧。既入，青衣数十人，容色皆殊，衣服鲜华，不可名状，各执乐器引拜。遂入中堂。宴食毕，且命茂实坐。复入更衣，返坐，衣裳冠冕，仪貌堂堂然，实真仙之风度也。其窗户、阶闼、屏帏、床榻、茵褥之盛，固非人世之所有；歌鸾舞凤及诸声乐，皆所未闻。情意高逸，不复思人寰之事，欢极。主人曰：“此乃仙居，非世人之所到。君宿缘合一到此，故有逃厄之遇。仙俗路殊，尘静难杂，君宜归修其心，三五劫当复相见。复比者尘缘将尽，上界有名，得遇太清真人召入小有洞中，示以九天之乐。复令下，指生死海波，且曰：‘乐虽难求，苦亦易遣。如为山者，掬土增高，不掬则止，穿则陷。夫升高者，不上难而下易乎？’自是修习，经六七劫，乃证此身。回视委骸，积如山岳；四大海水，半是吾宿世父母妻子别泣之泪。然念念修之，倏已一世。形骸虽远，此不忘修致，其功即亦非远。亦时有心远气清，一言而悟者。勉之！”遗金百镒，为修身之助。复乘麒麟，令黄头执之，复步送到家。家人方环泣。茂实投金于井中，复取去竹杖，令茂实潜卧衾中。复曰：“我当至蓬莱谒大仙伯。明旦，于莲花峰上有彩云东去，我之乘也。”遂揖而去。
