source,paragraph_id,volume,level1_supernatural,level2_emperor,level2_era,level3_domain,level4_animal,level4_animals_all,text
隋唐嘉话,01-001,01-隋唐嘉话卷上,冥报报应,高宗李治,,报应惩恶,马,马,【01-001】述曰：余自髫卭之年，便多闻往说，不足备之大典，故系之小说之末。昔汉文不敢更先帝约束而天下理康，若高宗拒乳母之言，近之矣。曹参择吏必于长者，惧其文害。观焉马周上事，与曹参异乎？许高阳谓死命为不能，非言所也。释教推报应之理，余尝存而不论。若解奉先之事，何其明著。友人天水赵良玉睹而告余，故书以记异。
隋唐嘉话,01-009,01-隋唐嘉话卷上,卜筮占相,未系年,,未明,龟,龟,【01-009】洛阳南市，即隋之丰都市也。初筑外垣之时，掘得一冢，无砖甓。棺中有平上朱衣，铭云：“筮言居朝，龟言近市，五百年间，于斯见矣。”校其年月，当魏黄初二年。
隋唐嘉话,01-021,01-隋唐嘉话卷上,鬼怪妖魅,太宗李世民,,军事战争,马,马,【01-021】武德末年，突厥至渭水桥，控弦四十万。太宗初亲庶政，驿召卫公问策。时发诸州军未到，长安居人，胜兵不过数万。胡人精骑腾突挑战，日数十合，帝怒，欲击之。靖请倾府库赂以求和，潜军邀其归路。帝从其言，胡兵遂退。于是据险邀之，虏弃老弱而遁，获马数万匹，玉帛无遗焉。
隋唐嘉话,01-036,01-隋唐嘉话卷上,鬼怪妖魅,太宗李世民,,医疗;官运仕途,马,马;狗,【01-036】太宗将征辽，卫公病不能从，帝使执政以起之，不起。帝曰：“吾知之矣。”明日驾临其第，执手与别。靖谢曰：“老臣宜从，但犬马之疾日月增甚，恐死于道路，仰累陛下。”帝抚其背曰：“勉之！昔司马仲达非不老病，竟能自强，立勋魏室。”靖叩头曰：“老臣请舆病行矣。”至相州，病笃不能进。驻跸之役，高丽与靺羯合军，方四十里，太宗望之有惧色。江夏王进曰：“高丽倾国以抗王师，平壤之守必弱。假臣精卒五千，覆其本根，则数十万之众，可不战而降。”帝不应。既合战，为贼所乘，殆将不振。还谓卫公曰：“吾以天下之众，困于蕞尔之夷，何也？”靖曰：“此道宗所解。”时江夏在侧，帝顾之，道宗具陈前言。帝怅然曰：“时匆遽不忆也。”驻跸之役，六军为高丽所乘，太宗命视黑旗——英公之麾也。候者告黑旗被围，帝大恐。须臾复曰围解，高丽哭声动山谷，劫军大胜，斩首数万，俘虏亦数万。
隋唐嘉话,02-022,02-隋唐嘉话卷中,神仙佛道,太宗李世民,贞观,医疗,马,马;羊,【02-022】贞观中有婆罗僧，言得佛齿，所击前无坚物。于是士马奔凑其处如市。时傅奕方卧病，闻之，谓其子曰：“是非佛齿。吾闻金刚石至坚，物不能敌，唯羚羊角破之。汝可往试之焉。”胡僧缄膁甚严固，求良久，乃得见。出角叩之，应手而碎，观者乃止。今理珠玉者皆用云。
隋唐嘉话,02-026,02-隋唐嘉话卷中,鬼怪妖魅,太宗李世民,贞观,未明,鹰,鹰,【02-026】贞观初，林邑献火珠，状如水精，云得于罗刹国。其人朱发黑身，兽牙鹰爪也。
隋唐嘉话,02-053,02-隋唐嘉话卷中,神仙佛道,太宗李世民,贞观,未明,蝉,蝉;马,【02-053】高宗承贞观之后，天下无事。上官侍郎仪独持国政。尝凌晨入朝，巡洛水堤，步月徐辔，咏诗云：“脉脉广川流，驱马历长洲。鹊飞山月晓，蝉噪野风秋。”音韵清亮。群公望之，犹神仙焉。
隋唐嘉话,03-006,03-隋唐嘉话卷下,鬼怪妖魅,未系年,,官运仕途,驴,驴,【03-006】武后初称周，恐下心不安，乃令人自举供奉官，正员外多置里行，拾遗、补阙、御史等至有“车载斗量”之咏。有御史台令史将入台，值里行御史数人聚立门内，令史不下驴，冲过其间。诸御史大怒，将杖之。令史云：“今日之过，实在此驴，乞先数之，然后受罚。”御史许之。谓驴曰：“汝技艺可知，精神极钝，何物驴畜，敢于御史里行！”于是羞而止。
隋唐嘉话,03-011,03-隋唐嘉话卷下,巫术厌胜,未系年,,未明,龙,龙,【03-011】武后将如洛阳，至阌乡县东，骑忽不进。召巫，言晋龙骧将军王濬云：“臣墓在道南，每为樵者所苦。闻大驾今至，故求哀。”后敕去墓百步不得耕殖。至今荆棘森然。
隋唐嘉话,03-071,03-隋唐嘉话卷下,神仙佛道,玄宗李隆基,开元,官运仕途,鸱,鸱,【03-071】王右军《告誓文》，今之所传，即其藁草，不具年月日朔。其真本云：“维永和十年三月癸卯朔九日辛亥。”而书亦真小。开元初年，润州江宁县瓦官寺修讲堂，匠人于鸱吻内竹简中得之，与一沙门。至八年，县丞李延业求得，上岐王。岐王以献帝，便留不出。或云：后却借岐王。十二年王家失火，图书悉为煨烬，此书亦见焚云。
